V (EAS), 
  62.750069,    0.000000
  62.750069,    1.000000
  66.801902,    1.133399
  70.853736,    1.275061
  74.905569,    1.425061
  78.957403,    1.583401
  83.009236,    1.750081
  87.061070,    1.925100
  91.112903,    2.108459
  95.164737,    2.300157
  99.216570,    2.500000
 134.318207,    2.500000
 167.897759,    2.500000
 167.897759,    0.000000
 134.318207,   -1.000000
  76.852825,   -1.000000
  76.852825,   -1.000078
  76.852825,   -1.000078
  76.852825,   -1.000078
  76.852825,   -1.000078
  76.852825,   -1.000078
  76.852825,   -1.000078
  76.852825,   -1.000078
  76.852825,   -1.000078
  76.852825,   -1.000078
  76.852825,   -1.000000
  76.852825,    0.000000
