alpha body, CM
  -4.000000,    0.000000
  -3.172414,    0.000000
  -2.344828,    0.000000
  -1.517241,    0.000000
  -0.689655,    0.000000
   0.137931,   -0.000000
   0.965517,   -0.000000
   1.793103,   -0.000000
   2.620690,   -0.000000
   3.448276,   -0.000000
   4.275862,   -0.000000
   5.103448,   -0.000000
   5.931034,   -0.000000
   6.758621,   -0.000000
   7.586207,   -0.000000
   8.413793,   -0.000000
   9.241379,   -0.000000
  10.068966,   -0.000000
  10.896552,   -0.000000
  11.724138,   -0.000000
  12.551724,   -0.000000
  13.379310,   -0.000000
  14.206897,   -0.000000
  15.034483,   -0.000000
  15.862069,   -0.000000
