alpha body, CM
  -4.000000,   -0.161911
  -3.172414,   -0.149983
  -2.344828,   -0.137528
  -1.517241,   -0.124553
  -0.689655,   -0.111061
   0.137931,   -0.096617
   0.965517,   -0.082145
   1.793103,   -0.067169
   2.620690,   -0.051698
   3.448276,   -0.035733
   4.275862,   -0.019277
   5.103448,   -0.002336
   5.931034,    0.015087
   6.758621,    0.032985
   7.586207,    0.051354
   8.413793,    0.069822
   9.241379,    0.085643
  10.068966,    0.096686
  10.896552,    0.103228
  11.724138,    0.108152
  12.551724,    0.117154
  13.379310,    0.138998
  14.206897,    0.185772
  15.034483,    0.273120
  15.862069,    0.420392
