alpha body, CM
  -4.000000,    0.273538
  -3.172414,    0.232874
  -2.344828,    0.194684
  -1.517241,    0.156627
  -0.689655,    0.118701
   0.137931,    0.080905
   0.965517,    0.043237
   1.793103,    0.005694
   2.620690,   -0.031724
   3.448276,   -0.069022
   4.275862,   -0.106200
   5.103448,   -0.143919
   5.931034,   -0.182948
   6.758621,   -0.222230
   7.586207,   -0.261771
   8.413793,   -0.301849
   9.241379,   -0.344738
  10.068966,   -0.393441
  10.896552,   -0.449596
  11.724138,   -0.513269
  12.551724,   -0.582984
  13.379310,   -0.655800
  14.206897,   -0.727446
  15.034483,   -0.792665
  15.862069,   -0.844912
