alpha body, CM
  -4.000000,   -0.119924
  -3.172414,   -0.099172
  -2.344828,   -0.078426
  -1.517241,   -0.057685
  -0.689655,   -0.036947
   0.137931,   -0.016209
   0.965517,    0.004532
   1.793103,    0.025279
   2.620690,    0.046037
   3.448276,    0.066809
   4.275862,    0.087601
   5.103448,    0.108419
   5.931034,    0.129268
   6.758621,    0.150154
   7.586207,    0.171085
   8.413793,    0.192067
   9.241379,    0.213109
  10.068966,    0.234218
  10.896552,    0.255403
  11.724138,    0.276673
  12.551724,    0.298037
  13.379310,    0.319505
  14.206897,    0.341088
  15.034483,    0.362796
  15.862069,    0.384641
