alpha body, Neutral Point
 -10.000000,    0.200476
  -9.000000,    0.209931
  -8.000000,    0.228702
  -7.000000,    0.247235
  -6.000000,    0.265136
  -5.000000,    0.282519
  -4.000000,    0.296841
  -3.000000,    0.307548
  -2.000000,    0.325505
  -1.000000,    0.343389
   0.000000,    0.352739
   1.000000,    0.361616
   2.000000,    0.370539
   3.000000,    0.379096
   4.000000,    0.387237
   5.000000,    0.394495
   6.000000,    0.400981
   7.000000,    0.407201
   8.000000,    0.413222
   9.000000,    0.418850
  10.000000,    0.423983
  11.000000,    0.434420
  12.000000,    0.464387
  13.000000,    0.551013
  14.000000,    0.753106
  15.000000,    1.759607
  16.000000,    6.013044
  17.000000,    8.483968
  18.000000,    5.118327
  19.000000,    1.997089
  20.000000,    1.327981
