alpha body, Neutral Point
 -10.000000,    0.189608
  -9.090909,    0.198468
  -8.181818,    0.215762
  -7.272727,    0.232905
  -6.363636,    0.250403
  -5.454545,    0.267583
  -4.545455,    0.283783
  -3.636364,    0.296938
  -2.727273,    0.304461
  -1.818182,    0.321009
  -0.909091,    0.339566
  -0.000000,    0.348108
   0.909091,    0.356875
   1.818182,    0.365402
   2.727273,    0.372959
   3.636364,    0.380064
   4.545455,    0.387257
   5.454545,    0.394005
   6.363636,    0.399882
   7.272727,    0.405355
   8.181818,    0.410879
   9.090909,    0.415890
  10.000000,    0.420207
  10.909091,    0.428065
  11.818182,    0.455740
  12.727273,    0.522396
  13.636364,    0.664459
  14.545455,    1.102043
  15.454545,    3.145118
  16.363636,    9.010467
  17.272727,    9.694246
  18.181818,    4.342323
  19.090909,    1.897119
  20.000000,    1.324999
