alpha body, Neutral Point
 -10.000000,    0.187579
  -9.000000,    0.198245
  -8.000000,    0.219350
  -7.000000,    0.240055
  -6.000000,    0.259901
  -5.000000,    0.279061
  -4.000000,    0.294727
  -3.000000,    0.306235
  -2.000000,    0.325890
  -1.000000,    0.345447
   0.000000,    0.355324
   1.000000,    0.364652
   2.000000,    0.374015
   3.000000,    0.382953
   4.000000,    0.391416
   5.000000,    0.398916
   6.000000,    0.405593
   7.000000,    0.411988
   8.000000,    0.418167
   9.000000,    0.423925
  10.000000,    0.429198
  11.000000,    0.441104
  12.000000,    0.477252
  13.000000,    0.582179
  14.000000,    0.830325
  15.000000,    2.040143
  16.000000,    7.357621
