alpha body, Neutral Point
 -10.000000,    0.190289
  -9.000000,    0.200197
  -8.000000,    0.219843
  -7.000000,    0.239192
  -6.000000,    0.257826
  -5.000000,    0.275882
  -4.000000,    0.290715
  -3.000000,    0.301731
  -2.000000,    0.320334
  -1.000000,    0.338855
   0.000000,    0.348414
   1.000000,    0.357472
   2.000000,    0.366573
   3.000000,    0.375286
   4.000000,    0.383561
   5.000000,    0.390923
   6.000000,    0.397495
   7.000000,    0.403794
   8.000000,    0.409889
   9.000000,    0.415579
  10.000000,    0.420779
  11.000000,    0.431775
  12.000000,    0.464044
  13.000000,    0.557458
  14.000000,    0.776569
  15.000000,    1.858081
  16.000000,    6.496092
  17.000000,    9.128210
  18.000000,    5.410022
  19.000000,    2.061492
  20.000000,    1.357254
