alpha body, Neutral Point
 -10.000000,    0.198432
  -9.090909,    0.207072
  -8.181818,    0.223919
  -7.272727,    0.240569
  -6.363636,    0.257498
  -5.454545,    0.274063
  -4.545455,    0.289656
  -3.636364,    0.301989
  -2.727273,    0.308201
  -1.818182,    0.324023
  -0.909091,    0.342104
  -0.000000,    0.349520
   0.909091,    0.357076
   1.818182,    0.364379
   2.727273,    0.370774
   3.636364,    0.376700
   4.545455,    0.382625
   5.454545,    0.388108
   6.363636,    0.392796
   7.272727,    0.397068
   8.181818,    0.401307
   9.090909,    0.405057
  10.000000,    0.408214
  10.909091,    0.415231
  11.818182,    0.443604
  12.727273,    0.514454
  13.636364,    0.668244
  14.545455,    1.144309
  15.454545,    3.377108
