BlockFuel[kg], BlockTime[min]
5432.299256,  280.694332
6038.197927,  273.008270
6318.781345,  270.159816
6009.760323,  273.297798
6314.769144,  270.199798
6321.026025,  270.138037
5861.582194,  274.958026
5442.028019,  280.517387
6261.740832,  270.748529
6876.129697,  265.077734
5326.678044,  282.688969
6001.702283,  273.414162
5714.814878,  276.654837
6577.621827,  267.689008
6591.885432,  267.563473
5503.278376,  279.318182
5779.111208,  275.846634
5362.364700,  282.028740
5745.956247,  276.226571
6895.444391,  264.899016
5304.997906,  283.087453
5914.013297,  274.373757
6748.398811,  266.195644
6566.535433,  267.817888
6489.563031,  268.556241
5545.854828,  278.776085
6395.671394,  269.433656
5969.180710,  273.768266
5570.604095,  278.461300
5376.241226,  281.748921
5960.741200,  273.858130
6677.265385,  266.814910
5990.894446,  273.526276
5896.679105,  274.563780
6510.546557,  268.348875
5381.545962,  281.648188
6132.288809,  272.061053
5400.619457,  281.292067
6134.111127,  272.053019
5467.280418,  280.036469
5407.057045,  281.178636
6059.535901,  272.773173
6595.867073,  267.528938
6760.107578,  266.108118
6792.516402,  265.807606
5782.545371,  275.801798
6551.483655,  267.958956
5629.976634,  277.717781
5501.175321,  279.335701
6914.660418,  264.729045
6826.903697,  265.502426
6305.282629,  270.296560
5599.257696,  278.101478
5696.605211,  276.879343
5498.623179,  279.368295
6547.032205,  267.998733
5345.203701,  282.331213
5950.035734,  273.978012
5626.387981,  277.761730
6795.599387,  265.775010
6078.892133,  272.594341
6402.147625,  269.373038
5316.322814,  282.874767
6118.752737,  272.189728
5405.115431,  281.205080
5753.894912,  276.136657
6549.513852,  267.973373
5826.519871,  275.336300
5436.172960,  280.620771
6905.107839,  264.815629
6205.431433,  271.310216
6077.865955,  272.607729
6703.026785,  266.589980
6444.662213,  268.974581
5419.907541,  280.927031
5653.605074,  277.446958
5329.992690,  282.618522
6584.627165,  267.627190
6264.957917,  270.707092
6731.683542,  266.336100
5419.661406,  280.930394
6614.464838,  267.359593
5753.428135,  276.143322
5463.454710,  280.107528
6095.056034,  272.430666
6086.144302,  272.529670
5364.816251,  281.962753
5489.918366,  279.472649
6129.136262,  272.084686
5420.232115,  280.919571
6902.459108,  264.836328
6667.543042,  266.898838
6665.169755,  266.919614
5356.233598,  282.124214
5417.070834,  280.979278
6338.526932,  269.959575
5913.057774,  274.383158
6653.365408,  267.030620
6650.387719,  267.054906
6077.191074,  272.611637
6164.556994,  271.725157
5522.434907,  278.997731
6834.870664,  265.429561
6197.676616,  271.394126
