BlockFuel[kg], BlockTime[min]
6165.644820,  271.840807
6125.448843,  272.121555
6626.069414,  267.246956
5289.262579,  283.383445
6079.159255,  272.591436
6587.937093,  267.597595
6061.793971,  272.745126
6584.319996,  267.629352
6940.800730,  264.499481
5875.230128,  274.799739
6904.283802,  264.820098
6751.890246,  266.158103
6751.635083,  266.160343
6798.358809,  265.750112
6376.016849,  269.619615
6056.453214,  272.803943
5644.325889,  277.533949
6591.083656,  267.569963
5750.014031,  276.178701
5487.006604,  279.508626
5494.273241,  279.417412
6037.979085,  273.009454
5462.281104,  280.128514
6063.295736,  272.728588
6053.045891,  272.841467
6570.808034,  267.747981
6147.443293,  271.898291
6612.478599,  267.375917
5557.154642,  278.628152
6009.430799,  273.299238
5422.705344,  280.873043
5994.659802,  273.484477
6360.704006,  269.764912
6913.586395,  264.738421
6681.606048,  266.775193
6929.992431,  264.594377
5894.469905,  274.587855
6911.173251,  264.759609
5940.885978,  274.076681
6534.442619,  268.127625
6945.361009,  264.459442
6007.397005,  273.319878
5754.437208,  276.129990
5513.584876,  279.163310
5524.526969,  278.957458
5374.078971,  281.787832
5527.593344,  278.899760
5474.914220,  279.890849
5955.662961,  273.913945
6064.084472,  272.719904
6904.542718,  264.817824
6118.459881,  272.192499
6469.705243,  268.730645
5523.629452,  278.974300
5778.939284,  275.844212
5696.757841,  276.875800
5302.847830,  283.249420
6938.396851,  264.520587
5783.541325,  275.786444
6660.279239,  266.962440
6910.622064,  264.764448
6650.081113,  267.051979
6047.200944,  272.905839
5507.910178,  279.246275
5339.596400,  282.436538
5515.352908,  279.130034
6934.169961,  264.557699
5857.087440,  274.999541
5796.104578,  275.628736
6735.219272,  266.336164
6025.593685,  273.135167
5741.960151,  276.267397
6758.989750,  266.095770
6567.920163,  267.798722
6271.663243,  270.641398
6041.437342,  272.969315
5520.196889,  279.038929
5912.180601,  274.392809
6294.992723,  270.388410
6097.791574,  272.402301
5471.821883,  279.972158
6043.548540,  272.946069
5416.878517,  280.982661
6835.990173,  265.420140
5465.565134,  280.067254
6607.863074,  267.419714
6330.816678,  270.036867
5841.337410,  275.172993
5519.419270,  279.053514
6721.100005,  266.428439
5289.446797,  283.379979
5775.744920,  275.889623
5845.553954,  275.126557
6728.402750,  266.364321
6276.013777,  270.597419
6339.545621,  269.948264
5765.567995,  276.007418
6629.991067,  267.209745
6332.721851,  270.017533
6256.050636,  270.795823
6729.164928,  266.357630
5668.087924,  277.235677
6322.678214,  270.119487
6602.487713,  267.469734
5579.342712,  278.349641
5766.617374,  275.995705
5786.695606,  275.746849
5900.993541,  274.516011
6287.582874,  270.458718
6331.762666,  270.027270
5946.995718,  274.009396
6369.700514,  269.679548
6746.533826,  266.205132
6051.622237,  272.857146
5934.130715,  274.151076
6279.116866,  270.563540
6935.615663,  264.545006
5907.986675,  274.439706
5711.277859,  276.693537
6845.668512,  265.347289
6215.896144,  271.203430
5415.441959,  281.009686
6015.608045,  273.236535
5486.706729,  279.515979
6611.427490,  267.387511
6742.370642,  266.241684
6293.468243,  270.402875
6614.167484,  267.359891
6121.593666,  272.160688
5528.766996,  278.877656
6923.815018,  264.648615
6210.588869,  271.260950
5477.940580,  279.833914
6633.194016,  267.179357
5767.134880,  275.989948
5689.961563,  276.961361
5772.199286,  275.928812
6310.768826,  270.238722
6261.048415,  270.745091
6914.552475,  264.729939
6486.383213,  268.572394
5795.300565,  275.638830
5522.489411,  278.995749
5747.482060,  276.206584
6303.815238,  270.306821
6460.145435,  268.824695
5482.169040,  279.754364
6196.333308,  271.402011
5500.601726,  279.338676
6619.716318,  267.308655
5714.832939,  276.648912
5499.487516,  279.367289
5748.732931,  276.192809
6014.899632,  273.246837
6058.424496,  272.782239
5794.685372,  275.646547
6580.364559,  267.664075
6938.898990,  264.516178
5325.317194,  282.705390
6058.734477,  272.778825
6483.919224,  268.595774
5959.489078,  273.871808
6601.445484,  267.478911
5620.499642,  277.833025
5759.257733,  276.076906
5731.106561,  276.448079
5520.759407,  279.028345
5483.331687,  279.747743
6503.915958,  268.407583
6578.800897,  267.677809
6081.599366,  272.567228
6022.320978,  273.168387
6311.720044,  270.229666
6915.719325,  264.719694
5754.281475,  276.131705
6921.980456,  264.664722
6615.695196,  267.345720
6035.923259,  273.029978
6026.291015,  273.128089
6341.484120,  269.928586
6024.039054,  273.151087
6438.021605,  269.042501
6735.764782,  266.299955
6005.706831,  273.337036
6049.919507,  272.875899
5650.366600,  277.458123
5484.567997,  279.539241
6420.853944,  269.194175
5617.039032,  277.876464
5514.235208,  279.154915
6826.133662,  265.506251
6335.806841,  269.986212
5957.315822,  273.895742
5677.951762,  277.171955
6658.970888,  266.973927
6556.598146,  267.906297
5581.945843,  278.316966
5389.730747,  281.493382
6715.447624,  266.478066
6225.067793,  271.122559
6847.742332,  265.316528
5438.113831,  280.615487
