alpha body, CLh_e
 -10.000000,   -0.630011
  -9.090909,   -0.614412
  -8.181818,   -0.597595
  -7.272727,   -0.579565
  -6.363636,   -0.560332
  -5.454545,   -0.539903
  -4.545455,   -0.518281
  -3.636364,   -0.495465
  -2.727273,   -0.471454
  -1.818182,   -0.440208
  -0.909091,   -0.418779
  -0.000000,   -0.396155
   0.909091,   -0.372331
   1.818182,   -0.347303
   2.727273,   -0.321068
   3.636364,   -0.293620
   4.545455,   -0.264952
   5.454545,   -0.235055
   6.363636,   -0.203925
   7.272727,   -0.171551
   8.181818,   -0.137925
   9.090909,   -0.103036
  10.000000,   -0.066872
  10.909091,   -0.029425
  11.818182,    0.009200
  12.727273,    0.048640
  13.636364,    0.088468
  14.545455,    0.128249
