CLh_e, CDh_e
  -0.303536,    0.010443
  -0.267540,    0.009035
  -0.231002,    0.007850
  -0.193918,    0.006885
  -0.156300,    0.006138
  -0.117718,    0.005603
  -0.079073,    0.005280
  -0.039897,    0.005164
  -0.000194,    0.005250
   0.040031,    0.005541
   0.080781,    0.006029
   0.122048,    0.006732
   0.163833,    0.007672
   0.206132,    0.008836
   0.248898,    0.010233
   0.291142,    0.011872
   0.331255,    0.013837
   0.368063,    0.016296
   0.400921,    0.019464
   0.429761,    0.023625
   0.455153,    0.029121
   0.478346,    0.035885
   0.501409,    0.042113
   0.527168,    0.048736
   0.559284,    0.056004
   0.602271,    0.063840
   0.661507,    0.072172
   0.743268,    0.080849
   0.854753,    0.089694
   1.004109,    0.098440
