eta, Cd
   0.000000,    0.023491
   0.020408,    0.023636
   0.040816,    0.023806
   0.061224,    0.023959
   0.081633,    0.024101
   0.102041,    0.024234
   0.122449,    0.024358
   0.142857,    0.024474
   0.163265,    0.024582
   0.183673,    0.024683
   0.204082,    0.024776
   0.224490,    0.024862
   0.244898,    0.024940
   0.265306,    0.025011
   0.285714,    0.025073
   0.306122,    0.025128
   0.326531,    0.025174
   0.346939,    0.025212
   0.367347,    0.025241
   0.387755,    0.025261
   0.408163,    0.025272
   0.428571,    0.025273
   0.448980,    0.025263
   0.469388,    0.025243
   0.489796,    0.025212
   0.510204,    0.025166
   0.530612,    0.025104
   0.551020,    0.025029
   0.571429,    0.024938
   0.591837,    0.024830
   0.612245,    0.024704
   0.632653,    0.024557
   0.653061,    0.024387
   0.673469,    0.024193
   0.693878,    0.023970
   0.714286,    0.023717
   0.734694,    0.023429
   0.755102,    0.023103
   0.775510,    0.022734
   0.795918,    0.022315
   0.816327,    0.021839
   0.836735,    0.021298
   0.857143,    0.020682
   0.877551,    0.019983
   0.897959,    0.019192
   0.918367,    0.018309
   0.938776,    0.017390
   0.959184,    0.016762
   0.979592,    0.020364
   1.000000,    0.005143
