Ground Roll distance, Load Factor
 335.941767,    0.725085
 343.692742,    0.721307
 396.953039,    0.695700
 407.490236,    0.690707
 417.989572,    0.685755
 428.451227,    0.680844
 438.875380,    0.675975
 440.955725,    0.675005
 440.988999,    0.674990
 441.014511,    0.674978
 441.027570,    0.674972
 441.033783,    0.674969
 441.036360,    0.674968
 441.036942,    0.674968
 441.037292,    0.674967
 441.037613,    0.674967
 441.040819,    0.674962
 441.072879,    0.674914
 441.393424,    0.674439
 444.592635,    0.669672
 451.914282,    0.658583
 459.730798,    0.646466
 495.167102,    0.587612
 528.442532,    0.525758
 558.246024,    0.463978
 584.661761,    0.403297
 607.885574,    0.344563
 628.140556,    0.288537
 645.654052,    0.235901
 647.908274,    0.228811
 649.168702,    0.224814
 656.840380,    0.199974
 663.472511,    0.177767
 666.241684,    0.168283
 667.448922,    0.164108
 668.594855,    0.160121
 679.263479,    0.121848
 682.261959,    0.110691
 684.651159,    0.101667
 685.144580,    0.099787
 685.710612,    0.097626
 691.026427,    0.076995
 699.023139,    0.044751
 700.555893,    0.038387
 701.902603,    0.032741
 703.196869,    0.027265
 703.616127,    0.025480
 703.757323,    0.024877
 703.895729,    0.024286
 705.187892,    0.018733
 708.482720,    0.004246
 708.944709,    0.002166
 709.175237,    0.001121
 709.315893,    0.000481
 709.392988,    0.000128
 709.420395,    0.000002
 709.420817,    0.000001
 709.420919,    0.000000
 709.420926,    0.000000
