eta, basic load
   0.000000, 12379.978105
   0.020408, 12287.401817
   0.040816, 12274.473361
   0.061224, 12250.518206
   0.081633, 12215.003504
   0.102041, 12167.820119
   0.122449, 12109.056632
   0.142857, 12038.887739
   0.163265, 11957.506074
   0.183673, 11865.075335
   0.204082, 11761.693258
   0.224490, 11647.355463
   0.244898, 11521.909129
   0.265306, 11384.974742
   0.285714, 11233.841163
   0.306122, 11067.677276
   0.326531, 10890.826821
   0.346939, 10696.723149
   0.367347, 10492.425371
   0.387755, 10279.604652
   0.408163, 10059.506604
   0.428571, 9833.136919
   0.448980, 9601.339315
   0.469388, 9364.836618
   0.489796, 9124.255295
   0.510204, 8880.081172
   0.530612, 8632.795513
   0.551020, 8382.869869
   0.571429, 8130.654135
   0.591837, 7876.440662
   0.612245, 7620.463801
   0.632653, 7362.897225
   0.653061, 7103.848751
   0.673469, 6843.352095
   0.693878, 6581.354696
   0.714286, 6317.700289
   0.734694, 6052.104186
   0.755102, 5784.118195
   0.775510, 5513.080353
   0.795918, 5238.041794
   0.816327, 4957.658097
   0.836735, 4670.023476
   0.857143, 4372.408975
   0.877551, 4060.830798
   0.897959, 3729.296924
   0.918367, 3368.385840
   0.938776, 2962.242365
   0.959184, 2480.955422
   0.979592, 1853.419520
   1.000000,    0.000000
