OEW (kg), Block fuel (kg)
12715.785023, 2095.524663
12715.635816, 2095.762947
12715.947427, 2095.433988
12715.851960, 2095.516445
12716.390408, 2095.237922
12715.883432, 2095.503108
12715.749283, 2095.562994
12714.903763, 2096.112285
12714.856306, 2096.152472
12711.954896, 2098.945933
12715.906417, 2095.463770
12713.884137, 2096.905145
12713.871158, 2096.912788
12713.830051, 2096.949074
12716.434865, 2095.200318
12716.249727, 2095.272341
12715.033143, 2096.046429
12713.976089, 2096.817785
12714.459248, 2096.400482
12717.071762, 2094.960525
12712.548076, 2098.503055
12712.557789, 2098.496940
12713.909029, 2096.858068
12713.854245, 2096.921487
12715.300241, 2095.861029
12716.532919, 2095.140869
12712.637089, 2098.342854
12711.376498, 2099.788533
12713.753907, 2097.010106
12715.205291, 2095.911034
12712.979664, 2097.814592
12715.280754, 2095.882898
12713.803356, 2096.966874
12715.167503, 2095.930101
12720.578976, 2094.172484
12712.477048, 2098.567990
12713.272795, 2097.453724
12720.442172, 2094.193830
12713.370311, 2097.336933
12711.386809, 2099.782137
12711.392648, 2099.749749
12712.502530, 2098.550417
12713.222282, 2097.597560
12711.246897, 2099.941690
12717.740019, 2094.705803
12711.459615, 2099.649069
12711.902079, 2099.120259
12714.291371, 2096.540053
12714.055386, 2096.712409
12711.312855, 2099.940855
12719.696369, 2094.230016
12712.027182, 2098.895376
12712.599750, 2098.480798
12717.593809, 2094.738006
12719.909146, 2094.202481
12717.481701, 2094.773709
12713.467154, 2097.299881
12715.156791, 2096.042600
12713.559233, 2097.151411
12717.116900, 2094.902408
12711.148759, 2100.961041
12711.412290, 2099.725653
12715.678855, 2095.652370
12717.312363, 2094.827678
12711.794522, 2099.228882
12720.888734, 2094.156566
12711.159165, 2100.904748
12716.993910, 2095.023369
12712.604025, 2098.477729
12711.217913, 2100.847579
12714.517879, 2096.359780
12712.005815, 2098.924587
12717.093257, 2094.921798
12711.465375, 2099.640773
12713.117952, 2097.622800
12711.518855, 2099.573723
12711.405387, 2099.724861
12714.165103, 2096.621375
12711.820635, 2099.117215
12715.667702, 2095.758651
12712.162199, 2098.774191
12712.768582, 2098.030611
12711.432289, 2099.691429
12713.121179, 2097.606332
12713.933702, 2096.817486
12712.830382, 2097.952671
12711.222124, 2100.844567
12711.134919, 2100.977274
12714.725557, 2096.195489
12721.660775, 2094.092485
12714.201548, 2096.594433
12714.325735, 2096.498534
12717.371790, 2094.816028
12714.215235, 2096.579818
12714.704170, 2096.212191
12712.712591, 2098.095369
12715.619430, 2095.873406
12713.063350, 2097.798133
12711.121009, 2101.079475
12714.307741, 2096.516010
12711.441161, 2099.690127
12712.494470, 2098.564980
12714.534649, 2096.338721
12714.088689, 2096.680947
12714.379322, 2096.470995
12714.126058, 2096.655036
12717.576393, 2094.747402
12717.949832, 2094.603379
12714.414061, 2096.433602
12711.663849, 2099.498091
12721.245928, 2094.101646
12718.078321, 2094.597098
12715.669131, 2095.813963
12712.210598, 2098.660765
12714.078303, 2096.706051
12713.543230, 2097.196782
12714.468884, 2096.398006
12717.846312, 2094.636089
12712.242825, 2098.575223
12713.421622, 2097.321286
12711.508314, 2099.576874
12719.309252, 2094.420681
12710.709374, 2101.981162
12718.674475, 2094.431965
12714.358217, 2096.474293
12712.879733, 2097.846009
12720.280662, 2094.191314
12712.674476, 2098.132337
12714.047521, 2096.722933
12721.092532, 2094.110310
12711.560250, 2099.517916
12712.519803, 2098.556757
12718.704903, 2094.428072
12719.603182, 2094.414733
12718.466048, 2094.481947
12711.115161, 2101.083323
12710.616616, 2102.105337
12714.166052, 2096.619998
12711.718171, 2099.402601
12711.728876, 2099.292150
12713.611312, 2097.118082
12713.867745, 2096.941323
12710.717685, 2101.468639
12710.691678, 2101.997167
12711.089035, 2101.189388
12711.094387, 2101.144425
