OEW (kg), Block fuel (kg)
12711.787873, 2099.289208
12717.683889, 2094.800766
12720.739232, 2094.164985
12717.150533, 2094.925497
12716.814583, 2095.111672
12715.670907, 2095.696361
12716.905214, 2095.084251
12710.908866, 2100.536579
12712.958652, 2097.793174
12719.804629, 2094.225127
12712.942827, 2097.948681
12715.070027, 2095.977038
12719.177485, 2094.402705
12716.344587, 2095.311952
12713.920492, 2096.863501
12714.822798, 2096.172355
12711.441663, 2099.771594
12719.198316, 2094.309089
12712.031696, 2098.866386
12710.780939, 2100.863693
12711.179365, 2100.296682
12716.883498, 2095.100870
12717.219466, 2094.912221
12712.702237, 2098.114278
12714.278195, 2096.569562
12711.364828, 2099.934829
12714.355662, 2096.536492
12712.915421, 2097.953219
12712.240421, 2098.699889
12714.193416, 2096.683873
12711.321999, 2099.956022
12716.534745, 2095.335710
12712.831993, 2098.013214
12720.024821, 2094.203645
12712.642028, 2098.155819
12712.025716, 2098.921135
12714.657917, 2096.410364
12714.517236, 2096.407976
12712.525404, 2098.294974
12713.454519, 2097.315097
12719.002318, 2094.415686
12714.391159, 2096.472937
12720.944151, 2094.123413
12710.822305, 2100.782940
12711.427397, 2099.894711
12718.916154, 2094.413560
12712.558110, 2098.281755
12719.600101, 2094.250846
12713.754655, 2097.032533
12713.300381, 2097.517443
12714.158558, 2096.756549
12718.256396, 2094.536393
12713.094058, 2097.690886
12712.546665, 2098.295100
12718.519622, 2094.487686
12714.224687, 2096.601777
12713.217126, 2097.575679
12711.764817, 2099.262560
12711.253729, 2100.268765
12711.661540, 2099.474271
12713.670815, 2097.142487
12714.070221, 2096.812984
12713.348359, 2097.462009
12712.901038, 2097.980769
12713.817147, 2096.966433
12712.596372, 2098.270547
12715.989667, 2095.526111
12712.808915, 2098.050025
12716.572677, 2095.176351
12715.570012, 2095.751197
12713.825730, 2097.004840
12712.097521, 2098.841263
12720.566748, 2094.191861
12712.117500, 2098.805093
12711.977873, 2099.068719
12716.065095, 2095.454820
12713.125557, 2097.573480
12712.458241, 2098.419028
12717.518522, 2094.787703
12711.734066, 2099.445462
12716.007771, 2095.452938
12714.265617, 2096.616581
12717.810150, 2094.744756
12712.810414, 2098.044020
12715.200647, 2095.952102
12712.635736, 2098.206787
12718.605758, 2094.464277
12717.866956, 2094.687912
12711.287451, 2100.015164
12715.493103, 2095.825266
12711.885051, 2099.077026
12710.957919, 2100.481131
12713.375972, 2097.334284
12711.564170, 2099.520865
12717.351948, 2094.832071
12715.502375, 2095.748832
12714.144945, 2096.755252
12715.201273, 2095.940562
12715.356603, 2095.880749
12719.012458, 2094.421535
12712.973716, 2097.749769
12711.117981, 2100.365803
12713.514543, 2097.253918
12712.410138, 2098.438384
12716.226282, 2095.379639
12713.998502, 2096.793126
12715.787706, 2095.519601
12712.270769, 2098.534276
12718.041444, 2094.664392
12717.503810, 2094.782341
12710.773303, 2100.895846
12713.172858, 2097.589959
12711.503487, 2099.616431
12713.836075, 2096.904312
12714.416688, 2096.466273
12717.063660, 2095.061647
12716.716309, 2095.136731
12718.286306, 2094.517202
12714.725392, 2096.225275
12715.270523, 2095.863511
12718.615563, 2094.452518
12718.072241, 2094.585888
12714.933402, 2096.164899
12711.853499, 2099.162964
