eta, Total_load
   0.000000, 8652.925258
   0.020408, 8622.025336
   0.040816, 8618.808843
   0.061224, 8612.798875
   0.081633, 8603.772854
   0.102041, 8591.595907
   0.122449, 8576.178206
   0.142857, 8557.456806
   0.163265, 8535.385516
   0.183673, 8509.928333
   0.204082, 8481.054776
   0.224490, 8448.736348
   0.244898, 8412.943738
   0.265306, 8373.644511
   0.285714, 8330.801143
   0.306122, 8284.369272
   0.326531, 8234.296093
   0.346939, 8180.518818
   0.367347, 8122.963132
   0.387755, 8061.541613
   0.408163, 7996.152030
   0.428571, 7926.675496
   0.448980, 7852.974393
   0.469388, 7774.890024
   0.489796, 7692.239913
   0.510204, 7604.761328
   0.530612, 7512.203534
   0.551020, 7414.339044
   0.571429, 7310.849526
   0.591837, 7201.369564
   0.612245, 7085.478917
   0.632653, 6962.693029
   0.653061, 6832.451301
   0.673469, 6694.102420
   0.693878, 6546.885787
   0.714286, 6389.907679
   0.734694, 6222.110145
   0.755102, 6042.229669
   0.775510, 5848.741018
   0.795918, 5639.779017
   0.816327, 5413.026198
   0.836735, 5165.545521
   0.857143, 4893.520088
   0.877551, 4591.825522
   0.897959, 4253.277480
   0.918367, 3867.182488
   0.938776, 3416.175708
   0.959184, 2867.887812
   0.979592, 2144.325432
   1.000000,    0.000000
