eta, Total_load
   0.000000, 18992.137730
   0.020408, 18924.316091
   0.040816, 18917.256273
   0.061224, 18904.065111
   0.081633, 18884.254073
   0.102041, 18857.527128
   0.122449, 18823.687114
   0.142857, 18782.595877
   0.163265, 18734.152031
   0.183673, 18678.276555
   0.204082, 18614.902545
   0.224490, 18543.967455
   0.244898, 18465.406949
   0.265306, 18379.149839
   0.285714, 18285.113761
   0.306122, 18183.201349
   0.326531, 18073.296701
   0.346939, 17955.262001
   0.367347, 17828.934144
   0.387755, 17694.121243
   0.408163, 17550.598918
   0.428571, 17398.106221
   0.448980, 17236.341100
   0.469388, 17064.955234
   0.489796, 16883.548109
   0.510204, 16691.543061
   0.530612, 16488.389754
   0.551020, 16273.588885
   0.571429, 16046.441750
   0.591837, 15806.146306
   0.612245, 15551.780173
   0.632653, 15282.279811
   0.653061, 14996.414771
   0.673469, 14692.755496
   0.693878, 14369.632565
   0.714286, 14025.084362
   0.734694, 13656.788811
   0.755102, 13261.972644
   0.775510, 12837.288160
   0.795918, 12378.641519
   0.816327, 11880.946156
   0.836735, 11337.755622
   0.857143, 10740.692277
   0.877551, 10078.508728
   0.897959, 9335.436203
   0.918367, 8488.003796
   0.938776, 7498.097767
   0.959184, 6294.671304
   0.979592, 4706.538278
   1.000000,    0.000000
