Ground Distance, Angular Velocity
 499.185402,    0.000000
 505.422407,    0.000000
 511.735805,    0.000000
 518.096705,    0.000000
 524.506312,    0.000000
 530.997721,    0.000000
 537.525964,    0.000000
 544.134678,    0.000000
 550.764426,    0.000000
 557.455266,    0.000000
 564.180366,    0.000000
 570.957656,    0.000000
 577.837270,    0.000000
 584.766149,    0.000000
 591.724203,    0.000000
 598.746476,    0.000000
 605.817855,    0.000000
 612.926021,    0.000000
 620.100849,    0.000000
 627.349405,    0.000000
 634.618292,    0.000000
 641.969651,    0.000000
 649.370500,    0.000000
 656.817534,    0.000000
 664.350928,    0.000000
 671.936869,    0.000000
 679.563485,    0.000000
 687.251279,    0.000000
 695.000885,    0.000000
 702.800157,    0.000000
 710.657967,    0.000000
 718.586793,    0.000000
 726.576489,    0.000000
 734.605747,    0.000000
 742.696878,    0.000000
 750.827766,    0.000000
 759.044188,    0.000000
 767.296736,    0.000000
 775.672884,    0.000000
 784.069633,    0.000000
 792.516047,    0.000000
 801.016311,    0.000000
 802.729294,    0.000000
 803.879151,    0.000000
 804.890305,    0.000000
 808.078970,    0.000000
 808.142472,    0.000000
 808.222024,    0.000000
 808.241105,    0.000000
 808.274061,    0.000000
 808.284065,    0.000000
 808.285936,    0.000000
 808.286773,    0.000000
 808.287770,    0.000000
 808.297742,    0.000000
 808.386878,    0.000000
 808.938286,    0.000000
 812.117925,    0.000000
 819.806588,    0.000000
 827.349610,    0.000000
 834.944566,    0.000000
 842.617844,    0.000000
 850.336745,    0.000000
 858.076105,    0.000000
 865.878978,    0.000000
 873.704493,    0.000000
 881.603174,    0.000000
 889.540204,    0.000000
 897.535456,    0.000000
 905.577409,    0.000000
 913.662465,    0.000000
 921.792877,    0.000000
 929.962504,    0.000000
 938.196744,    0.000000
 946.493659,    0.000000
 954.830957,    0.000000
 963.186957,    0.000000
 971.588385,    0.000000
 980.058128,    0.000000
 988.574803,    0.000000
 997.170231,    0.000000
1005.792395,    0.000000
1014.469774,    0.000000
1023.202753,    0.000000
1031.989657,    0.000000
1040.784961,    0.000000
1049.662423,    0.000000
1058.601079,    0.000000
1067.567123,    0.000000
1076.571087,    0.000000
1085.651738,    0.000000
1094.771239,    0.000000
1103.925547,    0.000000
1113.157780,    0.000000
1122.409403,    0.000000
1131.739058,    0.000000
1141.141323,    0.000000
1150.559435,    0.000000
1160.041968,    0.000000
1169.575096,    0.000000
1179.174549,    0.000000
1188.785244,    0.000000
1198.451553,    0.000000
