Time, Mach number
   0.000000,    0.000001
   0.100000,    0.000862
   0.200000,    0.001719
   0.300000,    0.002575
   0.400000,    0.003431
   0.500000,    0.004287
   0.600000,    0.005143
   0.700000,    0.005999
   0.800000,    0.006856
   0.900000,    0.007712
   1.000000,    0.008568
   1.100000,    0.009424
   1.200000,    0.010271
   1.300000,    0.011117
   1.400000,    0.011962
   1.500000,    0.012808
   1.600000,    0.013654
   1.700000,    0.014500
   1.800000,    0.015345
   1.900000,    0.016191
   2.000000,    0.017037
   2.100000,    0.017883
   2.200000,    0.018719
   2.300000,    0.019554
   2.400000,    0.020390
   2.500000,    0.021225
   2.600000,    0.022060
   2.700000,    0.022896
   2.800000,    0.023731
   2.900000,    0.024566
   3.000000,    0.025401
   3.100000,    0.026237
   3.200000,    0.027063
   3.300000,    0.027887
   3.400000,    0.028712
   3.500000,    0.029537
   3.600000,    0.030362
   3.700000,    0.031187
   3.800000,    0.032011
   3.900000,    0.032836
   4.000000,    0.033661
   4.100000,    0.034486
   4.200000,    0.035301
   4.300000,    0.036115
   4.400000,    0.036929
   4.500000,    0.037744
   4.600000,    0.038558
   4.700000,    0.039372
   4.800000,    0.040186
   4.900000,    0.041000
   5.000000,    0.041814
   5.100000,    0.042629
   5.200000,    0.043433
   5.300000,    0.044237
   5.400000,    0.045041
   5.500000,    0.045844
   5.600000,    0.046648
   5.700000,    0.047451
   5.800000,    0.048255
   5.900000,    0.049058
   6.000000,    0.049862
   6.100000,    0.050665
   6.200000,    0.051460
   6.300000,    0.052252
   6.400000,    0.053045
   6.500000,    0.053838
   6.600000,    0.054631
   6.700000,    0.055424
   6.800000,    0.056217
   6.900000,    0.057010
   7.000000,    0.057803
   7.100000,    0.058596
   7.200000,    0.059379
   7.300000,    0.060161
   7.400000,    0.060944
   7.500000,    0.061726
   7.600000,    0.062508
   7.700000,    0.063290
   7.800000,    0.064072
   7.900000,    0.064855
   8.000000,    0.065637
   8.100000,    0.066419
   8.200000,    0.067192
   8.300000,    0.067963
   8.400000,    0.068735
   8.500000,    0.069506
   8.600000,    0.070278
   8.700000,    0.071049
   8.800000,    0.071821
   8.900000,    0.072592
   9.000000,    0.073364
   9.100000,    0.074135
   9.200000,    0.074897
   9.300000,    0.075658
   9.400000,    0.076419
   9.500000,    0.077180
   9.600000,    0.077940
   9.700000,    0.078701
   9.800000,    0.079462
   9.900000,    0.080223
  10.000000,    0.080983
  10.100000,    0.081744
  10.200000,    0.082495
  10.300000,    0.083245
  10.400000,    0.083996
  10.500000,    0.084746
  10.600000,    0.085496
  10.700000,    0.086246
  10.800000,    0.086996
  10.900000,    0.087746
  11.000000,    0.088496
  11.100000,    0.089246
  11.200000,    0.089986
  11.300000,    0.090726
  11.400000,    0.091465
  11.500000,    0.092204
  11.600000,    0.092943
  11.700000,    0.093683
  11.800000,    0.094422
  11.900000,    0.095161
  12.000000,    0.095901
  12.100000,    0.096640
  12.200000,    0.097373
  12.300000,    0.098106
  12.400000,    0.098838
  12.500000,    0.099568
  12.600000,    0.100297
  12.700000,    0.101026
  12.800000,    0.101749
  12.900000,    0.102473
  13.000000,    0.103196
  13.100000,    0.103920
  13.200000,    0.104643
  13.300000,    0.105366
  13.400000,    0.106090
  13.500000,    0.106813
  13.600000,    0.107537
  13.700000,    0.108257
  13.800000,    0.108971
