Time, xLDot = m(hdotc - hdot)
  39.000000, -18408.917196
  39.500000, -18285.682965
  40.000000, -18158.806476
  40.500000, -18028.744263
  41.000000, -17895.912495
  41.500000, -17760.690475
  42.000000, -17623.423814
  42.500000, -17484.427323
  43.000000, -17343.987651
  43.500000, -17202.365689
  44.000000, -17059.798765
  44.500000, -16916.502660
  45.000000, -16772.673439
  45.500000, -16628.489132
  46.000000, -16484.111280
  46.500000, -16339.686332
  47.000000, -16195.346944
  47.500000, -16051.213154
  48.000000, -15907.393466
  48.500000, -15763.985836
  49.000000, -15621.078582
  49.500000, -15478.751212
  50.000000, -15337.075184
  50.500000, -15196.114602
  51.000000, -15055.926850
  51.500000, -14916.563182
  52.000000, -14778.069246
  52.500000, -14640.485583
  53.000000, -14503.848065
  53.500000, -14368.188309
  54.000000, -14233.534052
  54.500000, -14099.909492
  55.000000, -13967.335599
  55.500000, -13835.830410
  56.000000, -13705.409281
  56.500000, -13576.085136
  57.000000, -13447.868682
  57.500000, -13320.768609
  58.000000, -13194.791777
  58.500000, -13069.943384
  59.000000, -12946.227115
  59.500000, -12823.645287
  60.000000, -12702.198974
  60.500000, -12581.888129
  61.000000, -12462.711685
  61.500000, -12344.667659
  62.000000, -12227.753236
  62.500000, -12111.964854
  63.000000, -11997.298279
  63.500000, -11883.748672
  64.000000, -11771.310650
  64.500000, -11659.978345
  65.000000, -11549.745457
  65.500000, -11440.605298
  66.000000, -11332.550834
  66.500000, -11225.574732
  67.000000, -11119.669388
  67.500000, -11014.826962
  68.000000, -10911.039411
  68.500000, -10808.298512
  69.000000, -10706.595889
  69.500000, -10605.923033
  70.000000, -10506.271327
  70.500000, -10407.632062
  71.000000, -10309.996451
  71.500000, -10213.355650
  72.000000, -10117.700769
  72.500000, -10023.022884
  73.000000, -9929.313049
  73.500000, -9836.562308
  74.000000, -9744.761704
  74.500000, -9653.902283
  75.000000, -9563.975110
  75.500000, -9474.971268
  76.000000, -9386.881869
  76.500000, -9299.698057
  77.000000, -9213.411015
  77.500000, -9128.011969
  78.000000, -9043.492191
  78.500000, -8959.843003
  79.000000, -8877.055781
  79.500000, -8795.121958
  80.000000, -8714.033024
  80.500000, -8633.780531
  81.000000, -8554.356094
  81.500000, -8475.751393
  82.000000, -8397.958172
  82.500000, -8320.968246
  83.000000, -8244.773494
  83.500000, -8169.365868
  84.000000, -8094.737387
  84.500000, -8020.880142
  85.000000, -7947.786296
  85.500000, -433434.886873
  86.000000, -352508.947470
  86.500000, -270926.560534
  87.000000, -201936.679768
  87.500000, -147464.542364
  88.000000, -105804.701080
  88.500000, -74449.772643
  89.000000, -51048.947268
  89.500000, -33665.818284
  90.000000, -20789.390158
  90.500000, -11270.621724
  91.000000, -4246.966410
  91.500000,  924.791517
  92.000000, 4722.715608
  92.500000, 7501.562838
  93.000000, 9524.423760
  93.500000, 10986.387899
  94.000000, 12032.145606
  94.500000, 12769.043226
  95.000000, 13276.753429
  95.500000, 13614.434964
  96.000000, 13826.033662
  96.500000, 13944.208247
  97.000000, 13993.238945
  97.500000, 13991.183467
  98.000000, 13951.475972
  98.500000, 13884.113548
  99.000000, 13796.537083
  99.500000, 13694.285588
 100.000000, 13581.482475
 100.500000, 13461.197118
 101.000000, 13335.713812
 101.500000, 13206.731920
 102.000000, 13075.514877
 102.500000, 12943.001169
 103.000000, 12809.887003
 103.500000, 12676.687914
 104.000000, 12543.784701
 104.500000, 12411.457665
 105.000000, 12279.912156
 105.500000, 12149.297619
 106.000000, 12019.721812
 106.500000, 11891.261415
 107.000000, 11763.969942
 107.500000, 11637.883654
 108.000000, 11513.025969
 108.500000, 11389.410752
 109.000000, 11267.044778
 109.500000, 11145.929561
 110.000000, 11026.062731
