Block fuel (kg), TOTAL GWP (kg)
2095.524663, 5421.326934
2095.762947, 5422.096386
2095.433988, 5421.070355
2095.516445, 5421.321579
2095.237922, 5420.573411
2095.503108, 5421.286905
2095.562994, 5421.433351
2096.112285, 5422.972485
2096.152472, 5423.084786
2098.945933, 5431.397725
2095.463770, 5421.219877
2096.905145, 5425.431343
2096.912788, 5425.454730
2096.949074, 5425.565890
2095.200318, 5420.483200
2095.272341, 5420.649429
2096.046429, 5422.769232
2096.817785, 5425.061169
2096.400482, 5423.862528
2094.960525, 5419.847970
2098.503055, 5429.948676
2098.496940, 5429.930952
2096.858068, 5425.173115
2096.921487, 5425.479233
2095.861029, 5422.258393
2095.140869, 5420.287974
2098.342854, 5429.477641
2099.788533, 5433.854960
2097.010106, 5425.606359
2095.911034, 5422.412772
2097.814592, 5428.151481
2095.882898, 5422.320165
2096.966874, 5425.483970
2095.930101, 5422.541030
2094.172484, 5417.692390
2098.567990, 5430.481931
2097.453724, 5427.003780
2094.193830, 5417.731968
2097.336933, 5426.654507
2099.782137, 5433.838442
2099.749749, 5433.729533
2098.550417, 5430.436547
2097.597560, 5427.529411
2099.941690, 5434.325756
2094.705803, 5419.046947
2099.649069, 5433.438177
2099.120259, 5431.859269
2096.540053, 5424.251086
2096.712409, 5424.795709
2099.940855, 5434.286960
2094.230016, 5417.873937
2098.895376, 5431.222874
2098.480798, 5429.874246
2094.738006, 5419.137349
2094.202481, 5417.759897
2094.773709, 5419.196559
2097.299881, 5426.443596
2096.042600, 5422.734646
2097.151411, 5426.083398
2094.902408, 5419.576204
2100.961041, 5437.197730
2099.725653, 5433.662567
2095.652370, 5421.828812
2094.827678, 5419.371039
2099.228882, 5432.186831
2094.156566, 5417.676470
2100.904748, 5437.035440
2095.023369, 5419.899170
2098.477729, 5429.864733
2100.847579, 5436.863350
2096.359780, 5423.751931
2098.924587, 5431.286110
2094.921798, 5419.600194
2099.640773, 5433.414184
2097.622800, 5427.484092
2099.573723, 5433.204567
2099.724861, 5433.698921
2096.621375, 5424.512969
2099.117215, 5431.888382
2095.758651, 5422.216758
2098.774191, 5430.890729
2098.030611, 5428.749278
2099.691429, 5433.561737
2097.606332, 5427.436247
2096.817486, 5425.121904
2097.952671, 5428.539292
2100.844567, 5436.854015
2100.977274, 5437.246004
2096.195489, 5423.314426
2094.092485, 5417.658776
2096.594433, 5424.430963
2096.498534, 5424.139056
2094.816028, 5419.307314
2096.579818, 5424.416524
2096.212191, 5423.365849
2098.095369, 5428.974670
2095.873406, 5422.226567
2097.798133, 5428.097332
2101.079475, 5437.547307
2096.516010, 5424.188772
2099.690127, 5433.549954
2098.564980, 5430.140120
2096.338721, 5423.728991
2096.680947, 5424.696074
2096.470995, 5424.066538
2096.655036, 5424.616648
2094.747402, 5419.117625
2094.603379, 5418.773984
2096.433602, 5423.942336
2099.498091, 5432.921273
2094.101646, 5417.610955
2094.597098, 5418.788357
2095.813963, 5422.053209
2098.660765, 5430.565015
2096.706051, 5424.787292
2097.196782, 5426.279851
2096.398006, 5423.861613
2094.636089, 5418.865691
2098.575223, 5430.323248
2097.321286, 5426.545655
2099.576874, 5433.228654
2094.420681, 5418.239257
2101.981162, 5440.255165
2094.431965, 5418.395953
2096.474293, 5424.070488
2097.846009, 5428.156801
2094.191314, 5417.746093
2098.132337, 5429.079827
2096.722933, 5424.832393
2094.110310, 5417.607144
2099.517916, 5433.061379
2098.556757, 5430.088008
2094.428072, 5418.387973
2094.414733, 5418.236306
2094.481947, 5418.416148
2101.083323, 5437.559208
2102.105337, 5440.632959
2096.619998, 5424.530362
2099.402601, 5432.640596
2099.292150, 5432.351179
2097.118082, 5425.944280
2096.941323, 5425.408897
2101.468639, 5438.784510
2101.997167, 5440.304053
2101.189388, 5437.870705
2101.144425, 5437.738128
