Block fuel (kg), TOTAL GWP (kg)
2099.289208, 5432.313548
2094.800766, 5419.238921
2094.164985, 5417.709701
2094.925497, 5419.715718
2095.111672, 5420.205133
2095.696361, 5421.863751
2095.084251, 5420.122671
2100.536579, 5436.070633
2097.793174, 5427.910426
2094.225127, 5417.873626
2097.948681, 5428.601142
2095.977038, 5422.610637
2094.402705, 5418.420602
2095.311952, 5420.776275
2096.863501, 5425.309839
2096.172355, 5423.310485
2099.771594, 5433.776269
2094.309089, 5418.034104
2098.866386, 5431.128110
2100.863693, 5437.069680
2100.296682, 5435.329971
2095.100870, 5420.248507
2094.912221, 5419.596349
2098.114278, 5428.843856
2096.569562, 5424.343248
2099.934829, 5434.283420
2096.536492, 5424.270667
2097.953219, 5428.339360
2098.699889, 5430.558769
2096.683873, 5424.725200
2099.956022, 5434.421259
2095.335710, 5420.718917
2098.013214, 5428.541375
2094.203645, 5417.769357
2098.155819, 5429.127831
2098.921135, 5431.286190
2096.410364, 5423.806180
2096.407976, 5423.913738
2098.294974, 5429.467174
2097.315097, 5426.503066
2094.415686, 5418.310041
2096.472937, 5424.054293
2094.123413, 5417.654960
2100.782940, 5436.825383
2099.894711, 5434.101235
2094.413560, 5418.379012
2098.281755, 5429.337377
2094.250846, 5417.923135
2097.032533, 5425.766968
2097.517443, 5427.058386
2096.756549, 5424.815186
2094.536393, 5418.583045
2097.690886, 5427.657680
2098.295100, 5429.433635
2094.487686, 5418.567166
2096.601777, 5424.449949
2097.575679, 5427.258214
2099.262560, 5432.422693
2100.268765, 5435.373502
2099.474271, 5432.997370
2097.142487, 5425.983212
2096.812984, 5425.002231
2097.462009, 5426.950220
2097.980769, 5428.447291
2096.966433, 5425.623283
2098.270547, 5429.300208
2095.526111, 5421.318539
2098.050025, 5428.648594
2095.176351, 5420.354351
2095.751197, 5421.911057
2097.004840, 5425.566311
2098.841263, 5431.100002
2094.191861, 5417.850412
2098.805093, 5430.903188
2099.068719, 5431.869450
2095.454820, 5421.086725
2097.573480, 5427.325300
2098.419028, 5429.784811
2094.787703, 5419.276068
2099.445462, 5433.020485
2095.452938, 5421.226153
2096.616581, 5424.427262
2094.744756, 5419.288264
2098.044020, 5428.609485
2095.952102, 5422.489901
2098.206787, 5429.152456
2094.464277, 5418.439198
2094.687912, 5419.034962
2100.015164, 5434.640124
2095.825266, 5422.128235
2099.077026, 5431.749731
2100.481131, 5435.899584
2097.334284, 5426.604563
2099.520865, 5433.108688
2094.832071, 5419.443017
2095.748832, 5421.937347
2096.755252, 5424.892707
2095.940562, 5422.534751
2095.880749, 5422.320332
2094.421535, 5418.275334
2097.749769, 5427.852165
2100.365803, 5435.559110
2097.253918, 5426.390007
2098.438384, 5429.814968
2095.379639, 5420.961576
2096.793126, 5425.024495
2095.519601, 5421.341737
2098.534276, 5430.184918
2094.664392, 5418.882829
2094.782341, 5419.337322
2100.895846, 5437.145102
2097.589959, 5427.300285
2099.616431, 5433.397454
2096.904312, 5425.328613
2096.466273, 5424.095921
2095.061647, 5420.000638
2095.136731, 5420.219475
2094.517202, 5418.543973
2096.225275, 5423.412317
2095.863511, 5422.403856
2094.452518, 5418.379547
2094.585888, 5418.791959
2096.164899, 5423.130825
2099.162964, 5432.042635
