eta, alpha_i
   0.000000,    1.251216
   0.005025,    1.252020
   0.010050,    1.252647
   0.015075,    1.253079
   0.020101,    1.253412
   0.025126,    1.253684
   0.030151,    1.253914
   0.035176,    1.254112
   0.040201,    1.254286
   0.045226,    1.254439
   0.050251,    1.254575
   0.055276,    1.254697
   0.060302,    1.254807
   0.065327,    1.254905
   0.070352,    1.254994
   0.075377,    1.255073
   0.080402,    1.255145
   0.085427,    1.255209
   0.090452,    1.255266
   0.095477,    1.255317
   0.100503,    1.255363
   0.105528,    1.255402
   0.110553,    1.255437
   0.115578,    1.255468
   0.120603,    1.255494
   0.125628,    1.255516
   0.130653,    1.255534
   0.135678,    1.255548
   0.140704,    1.255560
   0.145729,    1.255568
   0.150754,    1.255573
   0.155779,    1.255576
   0.160804,    1.255576
   0.165829,    1.255573
   0.170854,    1.255569
   0.175879,    1.255562
   0.180905,    1.255553
   0.185930,    1.255542
   0.190955,    1.255530
   0.195980,    1.255515
   0.201005,    1.255500
   0.206030,    1.255482
   0.211055,    1.255463
   0.216080,    1.255443
   0.221106,    1.255422
   0.226131,    1.255399
   0.231156,    1.255375
   0.236181,    1.255350
   0.241206,    1.255324
   0.246231,    1.255297
   0.251256,    1.255268
   0.256281,    1.255239
   0.261307,    1.255209
   0.266332,    1.255177
   0.271357,    1.255145
   0.276382,    1.255112
   0.281407,    1.255078
   0.286432,    1.255043
   0.291457,    1.255007
   0.296482,    1.254948
   0.301508,    1.254254
   0.306533,    1.252153
   0.311558,    1.249958
   0.316583,    1.247762
   0.321608,    1.245566
   0.326633,    1.243369
   0.331658,    1.241171
   0.336683,    1.238973
   0.341709,    1.236774
   0.346734,    1.234574
   0.351759,    1.232374
   0.356784,    1.230174
   0.361809,    1.227973
   0.366834,    1.225771
   0.371859,    1.223569
   0.376884,    1.221366
   0.381910,    1.219163
   0.386935,    1.216960
   0.391960,    1.214756
   0.396985,    1.212552
   0.402010,    1.210347
   0.407035,    1.208142
   0.412060,    1.205937
   0.417085,    1.203732
   0.422111,    1.201526
   0.427136,    1.199320
   0.432161,    1.197113
   0.437186,    1.194907
   0.442211,    1.192700
   0.447236,    1.190493
   0.452261,    1.188285
   0.457286,    1.186078
   0.462312,    1.183870
   0.467337,    1.181663
   0.472362,    1.179455
   0.477387,    1.177247
   0.482412,    1.175039
   0.487437,    1.172831
   0.492462,    1.170623
   0.497487,    1.168417
   0.502513,    1.166208
   0.507538,    1.163995
   0.512563,    1.161785
   0.517588,    1.159574
   0.522613,    1.157364
   0.527638,    1.155154
   0.532663,    1.152944
   0.537688,    1.150734
   0.542714,    1.148524
   0.547739,    1.146314
   0.552764,    1.144104
   0.557789,    1.141894
   0.562814,    1.139684
   0.567839,    1.137474
   0.572864,    1.135264
   0.577889,    1.133054
   0.582915,    1.130844
   0.587940,    1.128635
   0.592965,    1.126425
   0.597990,    1.124215
   0.603015,    1.122006
   0.608040,    1.119796
   0.613065,    1.117587
   0.618090,    1.115378
   0.623116,    1.113169
   0.628141,    1.110960
   0.633166,    1.108751
   0.638191,    1.106543
   0.643216,    1.104334
   0.648241,    1.102126
   0.653266,    1.099919
   0.658291,    1.097711
   0.663317,    1.095504
   0.668342,    1.093298
   0.673367,    1.091091
   0.678392,    1.088885
   0.683417,    1.086680
   0.688442,    1.084475
   0.693467,    1.082271
   0.698492,    1.080067
   0.703518,    1.077864
   0.708543,    1.075661
   0.713568,    1.073460
   0.718593,    1.071259
   0.723618,    1.069059
   0.728643,    1.066860
   0.733668,    1.064662
   0.738693,    1.062465
   0.743719,    1.060270
   0.748744,    1.058075
   0.753769,    1.055883
   0.758794,    1.053691
   0.763819,    1.051502
   0.768844,    1.049314
   0.773869,    1.047128
   0.778894,    1.044945
   0.783920,    1.042763
   0.788945,    1.040585
   0.793970,    1.038409
   0.798995,    1.036237
   0.804020,    1.034068
   0.809045,    1.031902
   0.814070,    1.029741
   0.819095,    1.027585
   0.824121,    1.025433
   0.829146,    1.023287
   0.834171,    1.021148
   0.839196,    1.019016
   0.844221,    1.016891
   0.849246,    1.014776
   0.854271,    1.012670
   0.859296,    1.010576
   0.864322,    1.008495
   0.869347,    1.006429
   0.874372,    1.004380
   0.879397,    1.002351
   0.884422,    1.000345
   0.889447,    0.998366
   0.894472,    0.996419
   0.899497,    0.994511
   0.904523,    0.992650
   0.909548,    0.990845
   0.914573,    0.989110
   0.919598,    0.987462
   0.924623,    0.985924
   0.929648,    0.984530
   0.934673,    0.983322
   0.939698,    0.982367
   0.944724,    0.981756
   0.949749,    0.981636
   0.954774,    0.982233
   0.959799,    0.983926
   0.964824,    0.987387
   0.969849,    0.993893
   0.974874,    1.006139
   0.979899,    1.030669
   0.984925,    1.087105
   0.989950,    1.260433
   0.994975,    2.482459
   1.000000,   -7.182280
