eta, alpha_i
   0.000000,    1.857553
   0.005025,    1.858670
   0.010050,    1.859585
   0.015075,    1.860220
   0.020101,    1.860715
   0.025126,    1.861122
   0.030151,    1.861468
   0.035176,    1.861768
   0.040201,    1.862033
   0.045226,    1.862268
   0.050251,    1.862479
   0.055276,    1.862669
   0.060302,    1.862841
   0.065327,    1.862997
   0.070352,    1.863138
   0.075377,    1.863266
   0.080402,    1.863383
   0.085427,    1.863488
   0.090452,    1.863584
   0.095477,    1.863670
   0.100503,    1.863748
   0.105528,    1.863818
   0.110553,    1.863881
   0.115578,    1.863937
   0.120603,    1.863987
   0.125628,    1.864031
   0.130653,    1.864069
   0.135678,    1.864102
   0.140704,    1.864130
   0.145729,    1.864153
   0.150754,    1.864173
   0.155779,    1.864188
   0.160804,    1.864199
   0.165829,    1.864207
   0.170854,    1.864211
   0.175879,    1.864213
   0.180905,    1.864211
   0.185930,    1.864207
   0.190955,    1.864200
   0.195980,    1.864190
   0.201005,    1.864178
   0.206030,    1.864164
   0.211055,    1.864147
   0.216080,    1.864129
   0.221106,    1.864108
   0.226131,    1.864086
   0.231156,    1.864062
   0.236181,    1.864036
   0.241206,    1.864009
   0.246231,    1.863979
   0.251256,    1.863949
   0.256281,    1.863917
   0.261307,    1.863883
   0.266332,    1.863848
   0.271357,    1.863812
   0.276382,    1.863774
   0.281407,    1.863734
   0.286432,    1.863694
   0.291457,    1.863651
   0.296482,    1.863574
   0.301508,    1.862805
   0.306533,    1.860603
   0.311558,    1.858412
   0.316583,    1.856219
   0.321608,    1.854026
   0.326633,    1.851832
   0.331658,    1.849636
   0.336683,    1.847440
   0.341709,    1.845243
   0.346734,    1.843044
   0.351759,    1.840845
   0.356784,    1.838645
   0.361809,    1.836445
   0.366834,    1.834243
   0.371859,    1.832041
   0.376884,    1.829838
   0.381910,    1.827634
   0.386935,    1.825430
   0.391960,    1.823225
   0.396985,    1.821019
   0.402010,    1.818813
   0.407035,    1.816606
   0.412060,    1.814399
   0.417085,    1.812191
   0.422111,    1.809983
   0.427136,    1.807774
   0.432161,    1.805565
   0.437186,    1.803355
   0.442211,    1.801145
   0.447236,    1.798935
   0.452261,    1.796724
   0.457286,    1.794513
   0.462312,    1.792302
   0.467337,    1.790091
   0.472362,    1.787879
   0.477387,    1.785667
   0.482412,    1.783455
   0.487437,    1.781243
   0.492462,    1.779032
   0.497487,    1.776823
   0.502513,    1.774609
   0.507538,    1.772390
   0.512563,    1.770174
   0.517588,    1.767958
   0.522613,    1.765743
   0.527638,    1.763527
   0.532663,    1.761312
   0.537688,    1.759096
   0.542714,    1.756881
   0.547739,    1.754665
   0.552764,    1.752449
   0.557789,    1.750234
   0.562814,    1.748018
   0.567839,    1.745803
   0.572864,    1.743587
   0.577889,    1.741371
   0.582915,    1.739156
   0.587940,    1.736940
   0.592965,    1.734725
   0.597990,    1.732509
   0.603015,    1.730294
   0.608040,    1.728079
   0.613065,    1.725864
   0.618090,    1.723649
   0.623116,    1.721434
   0.628141,    1.719220
   0.633166,    1.717006
   0.638191,    1.714792
   0.643216,    1.712578
   0.648241,    1.710365
   0.653266,    1.708153
   0.658291,    1.705940
   0.663317,    1.703728
   0.668342,    1.701517
   0.673367,    1.699306
   0.678392,    1.697096
   0.683417,    1.694887
   0.688442,    1.692678
   0.693467,    1.690470
   0.698492,    1.688264
   0.703518,    1.686058
   0.708543,    1.683853
   0.713568,    1.681649
   0.718593,    1.679447
   0.723618,    1.677245
   0.728643,    1.675046
   0.733668,    1.672848
   0.738693,    1.670652
   0.743719,    1.668457
   0.748744,    1.666265
   0.753769,    1.664075
   0.758794,    1.661887
   0.763819,    1.659702
   0.768844,    1.657520
   0.773869,    1.655341
   0.778894,    1.653165
   0.783920,    1.650994
   0.788945,    1.648826
   0.793970,    1.646663
   0.798995,    1.644505
   0.804020,    1.642352
   0.809045,    1.640205
   0.814070,    1.638065
   0.819095,    1.635932
   0.824121,    1.633808
   0.829146,    1.631692
   0.834171,    1.629586
   0.839196,    1.627492
   0.844221,    1.625410
   0.849246,    1.623342
   0.854271,    1.621290
   0.859296,    1.619257
   0.864322,    1.617244
   0.869347,    1.615255
   0.874372,    1.613293
   0.879397,    1.611363
   0.884422,    1.609470
   0.889447,    1.607620
   0.894472,    1.605822
   0.899497,    1.604085
   0.904523,    1.602422
   0.909548,    1.600849
   0.914573,    1.599388
   0.919598,    1.598066
   0.924623,    1.596920
   0.929648,    1.596002
   0.934673,    1.595382
   0.939698,    1.595164
   0.944724,    1.595497
   0.949749,    1.596610
   0.954774,    1.598867
   0.959799,    1.602874
   0.964824,    1.609698
   0.969849,    1.621376
   0.974874,    1.642205
   0.979899,    1.682613
   0.984925,    1.773865
   0.989950,    2.051277
   0.994975,    3.990815
   1.000000,  -11.091934
