eta, alpha_i
   0.000000,    2.160131
   0.005025,    2.161405
   0.010050,    2.162462
   0.015075,    2.163199
   0.020101,    2.163774
   0.025126,    2.164248
   0.030151,    2.164651
   0.035176,    2.165003
   0.040201,    2.165312
   0.045226,    2.165589
   0.050251,    2.165837
   0.055276,    2.166061
   0.060302,    2.166263
   0.065327,    2.166448
   0.070352,    2.166615
   0.075377,    2.166767
   0.080402,    2.166906
   0.085427,    2.167032
   0.090452,    2.167147
   0.095477,    2.167251
   0.100503,    2.167345
   0.105528,    2.167430
   0.110553,    2.167507
   0.115578,    2.167576
   0.120603,    2.167637
   0.125628,    2.167692
   0.130653,    2.167740
   0.135678,    2.167782
   0.140704,    2.167819
   0.145729,    2.167850
   0.150754,    2.167876
   0.155779,    2.167897
   0.160804,    2.167915
   0.165829,    2.167928
   0.170854,    2.167937
   0.175879,    2.167942
   0.180905,    2.167944
   0.185930,    2.167943
   0.190955,    2.167938
   0.195980,    2.167931
   0.201005,    2.167921
   0.206030,    2.167908
   0.211055,    2.167893
   0.216080,    2.167875
   0.221106,    2.167855
   0.226131,    2.167833
   0.231156,    2.167809
   0.236181,    2.167783
   0.241206,    2.167755
   0.246231,    2.167725
   0.251256,    2.167693
   0.256281,    2.167659
   0.261307,    2.167624
   0.266332,    2.167587
   0.271357,    2.167548
   0.276382,    2.167508
   0.281407,    2.167466
   0.286432,    2.167422
   0.291457,    2.167377
   0.296482,    2.167291
   0.301508,    2.166485
   0.306533,    2.164233
   0.311558,    2.162045
   0.316583,    2.159855
   0.321608,    2.157663
   0.326633,    2.155471
   0.331658,    2.153278
   0.336683,    2.151083
   0.341709,    2.148887
   0.346734,    2.146690
   0.351759,    2.144493
   0.356784,    2.142294
   0.361809,    2.140094
   0.366834,    2.137893
   0.371859,    2.135691
   0.376884,    2.133489
   0.381910,    2.131286
   0.386935,    2.129081
   0.391960,    2.126877
   0.396985,    2.124671
   0.402010,    2.122465
   0.407035,    2.120258
   0.412060,    2.118050
   0.417085,    2.115842
   0.422111,    2.113633
   0.427136,    2.111424
   0.432161,    2.109214
   0.437186,    2.107004
   0.442211,    2.104793
   0.447236,    2.102582
   0.452261,    2.100370
   0.457286,    2.098159
   0.462312,    2.095946
   0.467337,    2.093734
   0.472362,    2.091521
   0.477387,    2.089308
   0.482412,    2.087095
   0.487437,    2.084882
   0.492462,    2.082669
   0.497487,    2.080460
   0.502513,    2.078244
   0.507538,    2.076023
   0.512563,    2.073804
   0.517588,    2.071587
   0.522613,    2.069369
   0.527638,    2.067152
   0.532663,    2.064934
   0.537688,    2.062717
   0.542714,    2.060499
   0.547739,    2.058282
   0.552764,    2.056064
   0.557789,    2.053846
   0.562814,    2.051629
   0.567839,    2.049411
   0.572864,    2.047193
   0.577889,    2.044976
   0.582915,    2.042758
   0.587940,    2.040540
   0.592965,    2.038323
   0.597990,    2.036105
   0.603015,    2.033888
   0.608040,    2.031670
   0.613065,    2.029453
   0.618090,    2.027237
   0.623116,    2.025020
   0.628141,    2.022803
   0.633166,    2.020587
   0.638191,    2.018372
   0.643216,    2.016156
   0.648241,    2.013941
   0.653266,    2.011727
   0.658291,    2.009513
   0.663317,    2.007299
   0.668342,    2.005086
   0.673367,    2.002874
   0.678392,    2.000663
   0.683417,    1.998452
   0.688442,    1.996242
   0.693467,    1.994034
   0.698492,    1.991826
   0.703518,    1.989619
   0.708543,    1.987414
   0.713568,    1.985210
   0.718593,    1.983007
   0.723618,    1.980806
   0.728643,    1.978607
   0.733668,    1.976410
   0.738693,    1.974215
   0.743719,    1.972022
   0.748744,    1.969831
   0.753769,    1.967643
   0.758794,    1.965458
   0.763819,    1.963276
   0.768844,    1.961097
   0.773869,    1.958923
   0.778894,    1.956752
   0.783920,    1.954585
   0.788945,    1.952424
   0.793970,    1.950268
   0.798995,    1.948117
   0.804020,    1.945974
   0.809045,    1.943837
   0.814070,    1.941708
   0.819095,    1.939587
   0.824121,    1.937477
   0.829146,    1.935377
   0.834171,    1.933289
   0.839196,    1.931214
   0.844221,    1.929154
   0.849246,    1.927111
   0.854271,    1.925086
   0.859296,    1.923084
   0.864322,    1.921106
   0.869347,    1.919156
   0.874372,    1.917238
   0.879397,    1.915358
   0.884422,    1.913522
   0.889447,    1.911737
   0.894472,    1.910013
   0.899497,    1.908362
   0.904523,    1.906798
   0.909548,    1.905342
   0.914573,    1.904018
   0.919598,    1.902858
   0.924623,    1.901908
   0.929648,    1.901228
   0.934673,    1.900901
   0.939698,    1.901050
   0.944724,    1.901853
   0.949749,    1.903581
   0.954774,    1.906665
   0.959799,    1.911823
   0.964824,    1.920320
   0.969849,    1.934572
   0.974874,    1.959670
   0.979899,    2.007974
   0.984925,    2.116531
   0.989950,    2.445603
   0.994975,    4.737248
   1.000000,  -12.904167
