eta, alpha_i
   0.000000,    0.643756
   0.005025,    0.644244
   0.010050,    0.644582
   0.015075,    0.644809
   0.020101,    0.644980
   0.025126,    0.645116
   0.030151,    0.645229
   0.035176,    0.645325
   0.040201,    0.645407
   0.045226,    0.645478
   0.050251,    0.645539
   0.055276,    0.645593
   0.060302,    0.645640
   0.065327,    0.645681
   0.070352,    0.645716
   0.075377,    0.645747
   0.080402,    0.645773
   0.085427,    0.645796
   0.090452,    0.645814
   0.095477,    0.645830
   0.100503,    0.645842
   0.105528,    0.645852
   0.110553,    0.645858
   0.115578,    0.645863
   0.120603,    0.645865
   0.125628,    0.645865
   0.130653,    0.645863
   0.135678,    0.645859
   0.140704,    0.645854
   0.145729,    0.645847
   0.150754,    0.645838
   0.155779,    0.645828
   0.160804,    0.645816
   0.165829,    0.645804
   0.170854,    0.645790
   0.175879,    0.645775
   0.180905,    0.645759
   0.185930,    0.645742
   0.190955,    0.645724
   0.195980,    0.645705
   0.201005,    0.645685
   0.206030,    0.645665
   0.211055,    0.645644
   0.216080,    0.645622
   0.221106,    0.645599
   0.226131,    0.645576
   0.231156,    0.645552
   0.236181,    0.645528
   0.241206,    0.645503
   0.246231,    0.645478
   0.251256,    0.645452
   0.256281,    0.645425
   0.261307,    0.645399
   0.266332,    0.645371
   0.271357,    0.645343
   0.276382,    0.645315
   0.281407,    0.645287
   0.286432,    0.645257
   0.291457,    0.645228
   0.296482,    0.645186
   0.301508,    0.644569
   0.306533,    0.642571
   0.311558,    0.640374
   0.316583,    0.638177
   0.321608,    0.635979
   0.326633,    0.633782
   0.331658,    0.631584
   0.336683,    0.629386
   0.341709,    0.627187
   0.346734,    0.624988
   0.351759,    0.622789
   0.356784,    0.620590
   0.361809,    0.618391
   0.366834,    0.616191
   0.371859,    0.613991
   0.376884,    0.611791
   0.381910,    0.609591
   0.386935,    0.607390
   0.391960,    0.605189
   0.396985,    0.602989
   0.402010,    0.600788
   0.407035,    0.598587
   0.412060,    0.596386
   0.417085,    0.594184
   0.422111,    0.591983
   0.427136,    0.589781
   0.432161,    0.587580
   0.437186,    0.585378
   0.442211,    0.583176
   0.447236,    0.580974
   0.452261,    0.578773
   0.457286,    0.576571
   0.462312,    0.574369
   0.467337,    0.572167
   0.472362,    0.569964
   0.477387,    0.567762
   0.482412,    0.565560
   0.487437,    0.563358
   0.492462,    0.561156
   0.497487,    0.558955
   0.502513,    0.556753
   0.507538,    0.554549
   0.512563,    0.552346
   0.517588,    0.550143
   0.522613,    0.547940
   0.527638,    0.545737
   0.532663,    0.543535
   0.537688,    0.541332
   0.542714,    0.539130
   0.547739,    0.536927
   0.552764,    0.534725
   0.557789,    0.532523
   0.562814,    0.530320
   0.567839,    0.528118
   0.572864,    0.525916
   0.577889,    0.523714
   0.582915,    0.521511
   0.587940,    0.519309
   0.592965,    0.517107
   0.597990,    0.514906
   0.603015,    0.512704
   0.608040,    0.510502
   0.613065,    0.508300
   0.618090,    0.506099
   0.623116,    0.503897
   0.628141,    0.501696
   0.633166,    0.499495
   0.638191,    0.497294
   0.643216,    0.495093
   0.648241,    0.492892
   0.653266,    0.490691
   0.658291,    0.488491
   0.663317,    0.486291
   0.668342,    0.484091
   0.673367,    0.481891
   0.678392,    0.479691
   0.683417,    0.477492
   0.688442,    0.475293
   0.693467,    0.473094
   0.698492,    0.470895
   0.703518,    0.468697
   0.708543,    0.466499
   0.713568,    0.464301
   0.718593,    0.462104
   0.723618,    0.459907
   0.728643,    0.457711
   0.733668,    0.455515
   0.738693,    0.453320
   0.743719,    0.451125
   0.748744,    0.448930
   0.753769,    0.446737
   0.758794,    0.444544
   0.763819,    0.442352
   0.768844,    0.440160
   0.773869,    0.437970
   0.778894,    0.435780
   0.783920,    0.433591
   0.788945,    0.431404
   0.793970,    0.429218
   0.798995,    0.427033
   0.804020,    0.424849
   0.809045,    0.422667
   0.814070,    0.420487
   0.819095,    0.418309
   0.824121,    0.416132
   0.829146,    0.413958
   0.834171,    0.411787
   0.839196,    0.409619
   0.844221,    0.407453
   0.849246,    0.405292
   0.854271,    0.403134
   0.859296,    0.400981
   0.864322,    0.398834
   0.869347,    0.396692
   0.874372,    0.394558
   0.879397,    0.392431
   0.884422,    0.390314
   0.889447,    0.388207
   0.894472,    0.386114
   0.899497,    0.384036
   0.904523,    0.381977
   0.909548,    0.379941
   0.914573,    0.377932
   0.919598,    0.375959
   0.924623,    0.374031
   0.929648,    0.372159
   0.934673,    0.370364
   0.939698,    0.368669
   0.944724,    0.367114
   0.949749,    0.365755
   0.954774,    0.364686
   0.959799,    0.364059
   0.964824,    0.364143
   0.969849,    0.365455
   0.974874,    0.369080
   0.979899,    0.377656
   0.984925,    0.399092
   0.989950,    0.467663
   0.994975,    0.960191
   1.000000,   -2.980949
