eta, gamma
   0.000000,  108.777430
   0.020408,  108.757683
   0.040816,  108.697052
   0.061224,  108.593747
   0.081633,  108.447073
   0.102041,  108.256681
   0.122449,  108.022405
   0.142857,  107.744186
   0.163265,  107.422024
   0.183673,  107.055938
   0.204082,  106.645943
   0.224490,  106.192018
   0.244898,  105.694094
   0.265306,  105.152027
   0.285714,  104.565584
   0.306122,  103.934430
   0.326531,  103.258108
   0.346939,  102.536026
   0.367347,  101.767437
   0.387755,  100.951429
   0.408163,  100.086897
   0.428571,   99.172529
   0.448980,   98.206776
   0.469388,   97.187826
   0.489796,   96.113574
   0.510204,   94.980985
   0.530612,   93.787144
   0.551020,   92.529337
   0.571429,   91.203778
   0.591837,   89.806098
   0.612245,   88.331247
   0.632653,   86.773376
   0.653061,   85.125688
   0.673469,   83.380253
   0.693878,   81.527774
   0.714286,   79.557285
   0.734694,   77.455757
   0.755102,   75.207576
   0.775510,   72.793829
   0.795918,   70.191318
   0.816327,   67.371135
   0.836735,   64.296558
   0.857143,   60.919769
   0.877551,   57.176490
   0.897959,   52.976553
   0.918367,   48.185782
   0.938776,   42.586522
   0.959184,   35.773744
   0.979592,   26.773689
   1.000000,    0.000000
