eta, gamma
   0.000000,   21.755486
   0.020408,   21.751537
   0.040816,   21.739410
   0.061224,   21.718749
   0.081633,   21.689415
   0.102041,   21.651336
   0.122449,   21.604481
   0.142857,   21.548837
   0.163265,   21.484405
   0.183673,   21.411188
   0.204082,   21.329189
   0.224490,   21.238404
   0.244898,   21.138819
   0.265306,   21.030405
   0.285714,   20.913117
   0.306122,   20.786886
   0.326531,   20.651622
   0.346939,   20.507205
   0.367347,   20.353487
   0.387755,   20.190286
   0.408163,   20.017379
   0.428571,   19.834506
   0.448980,   19.641355
   0.469388,   19.437565
   0.489796,   19.222715
   0.510204,   18.996197
   0.530612,   18.757429
   0.551020,   18.505867
   0.571429,   18.240756
   0.591837,   17.961220
   0.612245,   17.666249
   0.632653,   17.354675
   0.653061,   17.025138
   0.673469,   16.676051
   0.693878,   16.305555
   0.714286,   15.911457
   0.734694,   15.491151
   0.755102,   15.041515
   0.775510,   14.558766
   0.795918,   14.038264
   0.816327,   13.474227
   0.836735,   12.859312
   0.857143,   12.183954
   0.877551,   11.435298
   0.897959,   10.595311
   0.918367,    9.637156
   0.938776,    8.517304
   0.959184,    7.154749
   0.979592,    5.354738
   1.000000,    0.000000
