eta, D
   0.000000,  593.332442
   0.020408,  591.130462
   0.040816,  582.463017
   0.061224,  573.054698
   0.081633,  563.344288
   0.102041,  553.479639
   0.122449,  543.526384
   0.142857,  533.518202
   0.163265,  523.474096
   0.183673,  513.439984
   0.204082,  503.528052
   0.224490,  493.589229
   0.244898,  483.627913
   0.265306,  473.647205
   0.285714,  463.604586
   0.306122,  453.888405
   0.326531,  445.074906
   0.346939,  436.149441
   0.367347,  427.250553
   0.387755,  418.376377
   0.408163,  409.526121
   0.428571,  400.699402
   0.448980,  391.895966
   0.469388,  383.115768
   0.489796,  374.360629
   0.510204,  365.621141
   0.530612,  357.028325
   0.551020,  348.519204
   0.571429,  340.048374
   0.591837,  331.614871
   0.612245,  323.218042
   0.632653,  314.857269
   0.653061,  306.531858
   0.673469,  298.240959
   0.693878,  289.983477
   0.714286,  281.758000
   0.734694,  273.562707
   0.755102,  265.395296
   0.775510,  257.252957
   0.795918,  249.132481
   0.816327,  241.030716
   0.836735,  232.945924
   0.857143,  225.374908
   0.877551,  218.014922
   0.897959,  210.890990
   0.918367,  204.271894
   0.938776,  199.034530
   0.959184,  200.910707
   0.979592,  254.778228
   1.000000, -216.091611
