eta, D
   0.000000,  457.455904
   0.020408,  454.844037
   0.040816,  447.707573
   0.061224,  440.257247
   0.081633,  432.617642
   0.102041,  424.887758
   0.122449,  417.111025
   0.142857,  409.309396
   0.163265,  401.495042
   0.183673,  393.675220
   0.204082,  385.854558
   0.224490,  378.036201
   0.244898,  370.222389
   0.265306,  362.414690
   0.285714,  354.593403
   0.306122,  346.774109
   0.326531,  338.934527
   0.346939,  330.953843
   0.367347,  323.052879
   0.387755,  315.229272
   0.408163,  307.481699
   0.428571,  299.809288
   0.448980,  292.211367
   0.469388,  284.687464
   0.489796,  277.238065
   0.510204,  269.858065
   0.530612,  262.549873
   0.551020,  255.316841
   0.571429,  248.169814
   0.591837,  241.260464
   0.612245,  234.435589
   0.632653,  227.695284
   0.653061,  221.039875
   0.673469,  214.469926
   0.693878,  207.986291
   0.714286,  201.590174
   0.734694,  195.283258
   0.755102,  189.067884
   0.775510,  182.947375
   0.795918,  176.926564
   0.816327,  171.012774
   0.836735,  165.217669
   0.857143,  159.561091
   0.877551,  154.079748
   0.897959,  149.211257
   0.918367,  145.053180
   0.938776,  142.024788
   0.959184,  142.580358
   0.979592,  172.845326
   1.000000,  -88.931374
