alpha, CM
  -3.872969,   -0.006844
  -3.543003,   -0.006660
  -3.254196,   -0.006498
  -2.966481,   -0.006337
  -2.679939,   -0.006177
  -2.394426,   -0.006017
  -2.109924,   -0.005858
  -1.826415,   -0.005699
  -1.543885,   -0.005541
  -1.262440,   -0.005384
  -0.981930,   -0.005227
  -0.702338,   -0.005070
  -0.423646,   -0.004914
  -0.145837,   -0.004759
   0.131001,   -0.004604
   0.406982,   -0.004450
   0.682137,   -0.004296
   0.956482,   -0.004142
   1.230035,   -0.003989
   1.502730,   -0.003836
   1.776309,   -0.003683
   2.059117,   -0.003525
   2.349263,   -0.003363
   2.640489,   -0.003200
   2.933181,   -0.003036
   3.280971,   -0.002841
