alpha, CM
  -3.872969,    0.002510
  -3.543003,    0.002695
  -3.254196,    0.002856
  -2.966481,    0.003017
  -2.679939,    0.003178
  -2.394426,    0.003337
  -2.109924,    0.003497
  -1.826415,    0.003655
  -1.543885,    0.003813
  -1.262440,    0.003971
  -0.981930,    0.004128
  -0.702338,    0.004284
  -0.423646,    0.004440
  -0.145837,    0.004596
   0.131001,    0.004751
   0.406982,    0.004905
   0.682137,    0.005059
   0.956482,    0.005212
   1.230035,    0.005366
   1.502730,    0.005518
   1.776309,    0.005671
   2.059117,    0.005829
   2.349263,    0.005992
   2.640489,    0.006155
   2.933181,    0.006319
   3.280971,    0.006513
