alpha, CM
  -3.872969,    0.032159
  -3.543003,    0.032344
  -3.254196,    0.032505
  -2.966481,    0.032666
  -2.679939,    0.032827
  -2.394426,    0.032986
  -2.109924,    0.033146
  -1.826415,    0.033304
  -1.543885,    0.033462
  -1.262440,    0.033620
  -0.981930,    0.033777
  -0.702338,    0.033933
  -0.423646,    0.034089
  -0.145837,    0.034245
   0.131001,    0.034400
   0.406982,    0.034554
   0.682137,    0.034708
   0.956482,    0.034861
   1.230035,    0.035015
   1.502730,    0.035167
   1.776309,    0.035320
   2.059117,    0.035478
   2.349263,    0.035641
   2.640489,    0.035804
   2.933181,    0.035968
   3.280971,    0.036162
