alpha, CM
  -3.872969,    0.093670
  -3.543003,    0.093855
  -3.254196,    0.094016
  -2.966481,    0.094177
  -2.679939,    0.094338
  -2.394426,    0.094497
  -2.109924,    0.094657
  -1.826415,    0.094815
  -1.543885,    0.094973
  -1.262440,    0.095131
  -0.981930,    0.095288
  -0.702338,    0.095444
  -0.423646,    0.095600
  -0.145837,    0.095756
   0.131001,    0.095911
   0.406982,    0.096065
   0.682137,    0.096219
   0.956482,    0.096372
   1.230035,    0.096526
   1.502730,    0.096678
   1.776309,    0.096831
   2.059117,    0.096989
   2.349263,    0.097152
   2.640489,    0.097315
   2.933181,    0.097479
   3.280971,    0.097673
