alpha, CM
  -3.872969,    0.051692
  -3.543003,    0.051876
  -3.254196,    0.052038
  -2.966481,    0.052199
  -2.679939,    0.052359
  -2.394426,    0.052519
  -2.109924,    0.052678
  -1.826415,    0.052837
  -1.543885,    0.052995
  -1.262440,    0.053153
  -0.981930,    0.053309
  -0.702338,    0.053466
  -0.423646,    0.053622
  -0.145837,    0.053777
   0.131001,    0.053932
   0.406982,    0.054087
   0.682137,    0.054241
   0.956482,    0.054394
   1.230035,    0.054547
   1.502730,    0.054700
   1.776309,    0.054853
   2.059117,    0.055011
   2.349263,    0.055173
   2.640489,    0.055336
   2.933181,    0.055500
   3.280971,    0.055695
