alpha, CM
  -3.872969,    0.072305
  -3.543003,    0.072490
  -3.254196,    0.072651
  -2.966481,    0.072812
  -2.679939,    0.072973
  -2.394426,    0.073132
  -2.109924,    0.073292
  -1.826415,    0.073450
  -1.543885,    0.073608
  -1.262440,    0.073766
  -0.981930,    0.073923
  -0.702338,    0.074079
  -0.423646,    0.074235
  -0.145837,    0.074391
   0.131001,    0.074545
   0.406982,    0.074700
   0.682137,    0.074854
   0.956482,    0.075007
   1.230035,    0.075160
   1.502730,    0.075313
   1.776309,    0.075466
   2.059117,    0.075624
   2.349263,    0.075787
   2.640489,    0.075950
   2.933181,    0.076113
   3.280971,    0.076308
