alpha, CM
  -3.872969,    0.015455
  -3.543003,    0.015640
  -3.254196,    0.015802
  -2.966481,    0.015963
  -2.679939,    0.016123
  -2.394426,    0.016283
  -2.109924,    0.016442
  -1.826415,    0.016601
  -1.543885,    0.016759
  -1.262440,    0.016916
  -0.981930,    0.017073
  -0.702338,    0.017230
  -0.423646,    0.017386
  -0.145837,    0.017541
   0.131001,    0.017696
   0.406982,    0.017850
   0.682137,    0.018004
   0.956482,    0.018158
   1.230035,    0.018311
   1.502730,    0.018463
   1.776309,    0.018617
   2.059117,    0.018775
   2.349263,    0.018937
   2.640489,    0.019100
   2.933181,    0.019264
   3.280971,    0.019458
