eta, M
   0.000000, 64379.439496
   0.020408, 60857.270076
   0.040816, 57768.334314
   0.061224, 54671.935977
   0.081633, 51561.738556
   0.102041, 48435.889126
   0.122449, 45294.800311
   0.142857, 42140.210935
   0.163265, 38974.695043
   0.183673, 35801.376900
   0.204082, 32623.755442
   0.224490, 29445.592446
   0.244898, 26270.840330
   0.265306, 23103.595826
   0.285714, 19948.071316
   0.306122, 16808.578704
   0.326531, 13689.522587
   0.346939, 10595.400674
   0.367347, 7530.810148
   0.387755, 4500.459264
   0.408163, 1509.183817
   0.428571, -1438.031511
   0.448980, -4336.026672
   0.469388, -7179.434114
   0.489796, -9962.640173
   0.510204, -12679.694810
   0.530612, -15324.293076
   0.551020, -17889.774576
   0.571429, -20368.948333
   0.591837, -22754.024648
   0.612245, -25036.495319
   0.632653, -27206.986774
   0.653061, -29255.078754
   0.673469, -31169.078704
   0.693878, -32935.738729
   0.714286, -34539.897187
   0.734694, -35964.020116
   0.755102, -37187.607373
   0.775510, -38186.411978
   0.795918, -38931.393816
   0.816327, -39387.279364
   0.836735, -39510.503340
   0.857143, -39246.111197
   0.877551, -38522.775962
   0.897959, -37244.109774
   0.918367, -35271.998968
   0.938776, -32390.456978
   0.959184, -28211.383275
   0.979592, -21833.166300
   1.000000,    0.000000
