eta, M
   0.000000, 12875.887899
   0.020408, 12171.454015
   0.040816, 11553.666863
   0.061224, 10934.387195
   0.081633, 10312.347711
   0.102041, 9687.177825
   0.122449, 9058.960062
   0.142857, 8428.042187
   0.163265, 7794.939009
   0.183673, 7160.275380
   0.204082, 6524.751088
   0.224490, 5889.118489
   0.244898, 5254.168066
   0.265306, 4620.719165
   0.285714, 3989.614263
   0.306122, 3361.715741
   0.326531, 2737.904517
   0.346939, 2119.080135
   0.367347, 1506.162030
   0.387755,  900.091853
   0.408163,  301.836763
   0.428571, -287.606302
   0.448980, -867.205334
   0.469388, -1435.886823
   0.489796, -1992.528035
   0.510204, -2535.938962
   0.530612, -3064.858615
   0.551020, -3577.954915
   0.571429, -4073.789667
   0.591837, -4550.804930
   0.612245, -5007.299064
   0.632653, -5441.397355
   0.653061, -5851.015751
   0.673469, -6233.815741
   0.693878, -6587.147746
   0.714286, -6907.979437
   0.734694, -7192.804023
   0.755102, -7437.521475
   0.775510, -7637.282396
   0.795918, -7786.278763
   0.816327, -7877.455873
   0.836735, -7902.100668
   0.857143, -7849.222239
   0.877551, -7704.555192
   0.897959, -7448.821955
   0.918367, -7054.399794
   0.938776, -6478.091396
   0.959184, -5642.276655
   0.979592, -4366.633260
   1.000000,    0.000000
