Mach, Climb Angle
   0.388544,    1.155330
   0.392498,    1.054089
   0.396452,    0.952639
   0.400406,    0.850283
   0.404360,    0.763569
   0.408314,    0.778464
   0.412268,    0.803208
   0.416222,    0.829127
   0.420177,    0.854529
   0.424131,    0.878657
   0.428085,    0.902053
   0.432039,    0.922365
   0.435993,    0.942107
   0.439947,    0.960029
   0.443901,    0.974087
   0.447855,    0.987675
   0.451809,    1.001525
   0.455764,    1.010367
   0.459718,    1.017423
   0.463672,    1.024974
   0.467626,    1.033338
   0.471580,    1.041905
   0.475534,    1.045673
   0.479488,    1.050173
   0.483442,    1.056317
   0.487396,    1.066988
   0.491350,    1.077792
   0.495305,    1.087164
   0.499259,    1.094307
   0.503213,    1.101821
   0.507167,    1.110715
   0.511121,    1.119678
   0.515075,    1.128873
   0.519029,    1.136242
   0.522983,    1.138785
   0.526937,    1.141149
   0.530891,    1.143529
   0.534846,    1.145787
   0.538800,    1.147963
   0.542754,    1.150148
   0.546708,    1.152227
   0.550662,    1.147919
   0.554616,    1.143230
   0.558570,    1.138488
   0.562524,    1.133711
   0.566478,    1.128901
   0.570433,    1.124056
   0.574387,    1.119182
   0.578341,    1.114280
   0.582295,    1.108263
   0.586249,    1.096988
   0.590203,    1.085636
   0.594157,    1.074208
   0.598111,    1.062703
   0.602065,    1.051121
   0.606019,    1.039461
   0.609974,    1.027724
   0.613928,    1.015909
   0.617882,    1.004016
   0.621836,    0.992046
   0.625790,    0.977600
   0.629744,    0.959607
   0.633698,    0.941500
   0.637652,    0.923277
   0.641606,    0.904938
   0.645560,    0.886484
   0.649515,    0.867915
   0.653469,    0.849231
   0.657423,    0.830431
   0.661377,    0.811515
   0.665331,    0.792485
   0.669285,    0.773339
   0.673239,    0.754077
   0.677193,    0.734701
   0.681147,    0.710971
   0.685102,    0.685975
   0.689056,    0.660832
   0.693010,    0.635542
   0.696964,    0.610105
   0.700918,    0.584521
   0.704872,    0.558790
   0.708826,    0.532912
   0.712780,    0.506887
   0.716734,    0.480715
   0.720688,    0.454396
   0.724643,    0.427930
   0.728597,    0.401316
   0.732551,    0.374556
   0.736505,    0.347648
   0.740459,    0.320594
   0.744413,    0.293392
   0.748367,    0.266039
   0.752321,    0.234787
   0.756275,    0.202233
   0.760229,    0.169436
   0.764184,    0.136351
   0.768138,    0.102922
   0.772092,    0.069082
   0.776046,    0.034748
   0.780000,   -0.000178
