eta, Total_load
   0.000000, 4908.324046
   0.020408, 4889.067893
   0.040816, 4886.385241
   0.061224, 4881.830936
   0.081633, 4875.374484
   0.102041, 4866.995920
   0.122449, 4856.680284
   0.142857, 4844.415157
   0.163265, 4830.189180
   0.183673, 4813.990983
   0.204082, 4795.808311
   0.224490, 4775.627278
   0.244898, 4753.431680
   0.265306, 4729.202348
   0.285714, 4702.916526
   0.306122, 4674.547243
   0.326531, 4644.062687
   0.346939, 4611.425539
   0.367347, 4576.592271
   0.387755, 4539.512386
   0.408163, 4500.127576
   0.428571, 4458.370781
   0.448980, 4414.165124
   0.469388, 4367.422695
   0.489796, 4318.043137
   0.510204, 4265.881293
   0.530612, 4210.800641
   0.551020, 4152.679901
   0.571429, 4091.347580
   0.591837, 4026.607542
   0.612245, 3958.234949
   0.632653, 3885.971289
   0.653061, 3809.518218
   0.673469, 3728.529853
   0.693878, 3642.602992
   0.714286, 3551.264534
   0.734694, 3453.955021
   0.755102, 3350.006696
   0.775510, 3238.613595
   0.795918, 3118.789732
   0.816327, 2989.308839
   0.836735, 2848.614320
   0.857143, 2694.678736
   0.877551, 2524.772388
   0.897959, 2335.055383
   0.918367, 2119.791164
   0.938776, 1869.629255
   0.959184, 1567.077951
   0.979592, 1169.860478
   1.000000,    0.000000
