alpha_b, CL
  -4.000000,    0.195320
  -3.794872,    0.218400
  -3.589744,    0.241480
  -3.384615,    0.264560
  -3.179487,    0.287640
  -2.974359,    0.310720
  -2.769231,    0.333800
  -2.564103,    0.356880
  -2.358974,    0.379960
  -2.153846,    0.403040
  -1.948718,    0.426119
  -1.743590,    0.449199
  -1.538462,    0.472279
  -1.333333,    0.495359
  -1.128205,    0.518439
  -0.923077,    0.541519
  -0.717949,    0.564599
  -0.512821,    0.587679
  -0.307692,    0.610759
  -0.102564,    0.633839
   0.102564,    0.656919
   0.307692,    0.679999
   0.512821,    0.703079
   0.717949,    0.726159
   0.923077,    0.749239
   1.128205,    0.772319
   1.333333,    0.795399
   1.538462,    0.818479
   1.743590,    0.841558
   1.948718,    0.864638
   2.153846,    0.887718
   2.358974,    0.910798
   2.564103,    0.933878
   2.769231,    0.956958
   2.974359,    0.980038
   3.179487,    1.003118
   3.384615,    1.026198
   3.589744,    1.049278
   3.794872,    1.072358
   4.000000,    1.095438
