eta, Cd
   0.000000,    0.010954
   0.020408,    0.010968
   0.040816,    0.010980
   0.061224,    0.010988
   0.081633,    0.010994
   0.102041,    0.010999
   0.122449,    0.011004
   0.142857,    0.011007
   0.163265,    0.011010
   0.183673,    0.011013
   0.204082,    0.011015
   0.224490,    0.011017
   0.244898,    0.011019
   0.265306,    0.011020
   0.285714,    0.011021
   0.306122,    0.011023
   0.326531,    0.011024
   0.346939,    0.011025
   0.367347,    0.011026
   0.387755,    0.011027
   0.408163,    0.011028
   0.428571,    0.011029
   0.448980,    0.011030
   0.469388,    0.011031
   0.489796,    0.011033
   0.510204,    0.011034
   0.530612,    0.011035
   0.551020,    0.011036
   0.571429,    0.011037
   0.591837,    0.011039
   0.612245,    0.011041
   0.632653,    0.011044
   0.653061,    0.011047
   0.673469,    0.011050
   0.693878,    0.011054
   0.714286,    0.011059
   0.734694,    0.011065
   0.755102,    0.011073
   0.775510,    0.011083
   0.795918,    0.011095
   0.816327,    0.011112
   0.836735,    0.011134
   0.857143,    0.011167
   0.877551,    0.011216
   0.897959,    0.011296
   0.918367,    0.011443
   0.938776,    0.011762
   0.959184,    0.012715
   0.979592,    0.019352
   1.000000,    0.004063
