Ground Roll Distance, Acceleration
1124.919493, -6730.130290
1151.977200, -6708.448657
1339.892803, -6560.594882
1377.089768, -6531.887683
1414.159458, -6503.461002
1451.102482, -6475.311776
1487.919444, -6447.436985
1490.435235, -6445.538716
1492.398265, -6444.058103
1494.063853, -6442.802231
1494.974062, -6442.116076
1495.591051, -6441.651025
1495.818118, -6441.479887
1495.854322, -7616.773396
1495.887504, -7617.228247
1496.219311, -7621.777636
1499.536760, -7667.359307
1532.648238, -8132.071545
1680.024277, -10435.473083
1825.870739, -13158.587987
1963.574289, -16234.091914
2030.954670, -17954.291184
2058.890539, -18713.767445
2085.870365, -19473.338849
2201.473657, -23076.656552
2313.059365, -27186.918571
2416.055226, -31670.708282
2510.327188, -36504.569857
2596.036935, -41661.672177
2673.437116, -47105.634850
2742.851981, -52791.093793
2804.660520, -58664.923020
2859.276457, -64667.561041
2884.335547, -67737.061255
2887.872003, -68187.075033
2891.682652, -68659.605017
2928.132502, -73451.826776
2940.515841, -75204.682640
2948.108884, -76314.789907
2950.919863, -76731.351652
2953.871984, -77168.235812
2981.884029, -81551.986085
2994.079626, -83613.570518
3001.542738, -84928.609184
3009.242267, -86332.468930
3011.401480, -86735.394264
3013.280885, -87070.183315
3014.967867, -87370.947446
3030.911589, -90334.575063
3055.246588, -95402.138281
3062.737508, -97152.404666
3067.514477, -98336.787825
3071.630437, -99411.613428
3073.102228, -99810.639916
3073.734078, -99984.638528
3075.806927, -100629.847656
3077.571959, -101200.718225
3088.972959, -105772.099145
3090.677469, -106809.636560
3091.382162, -107350.679199
3091.867370, -107815.002247
3092.193162, -108229.792224
3092.385295, -108600.868140
3092.465154, -108931.687401
3092.469881, -109007.047347
3092.470237, -109026.775736
3092.470276, -109035.809077
