OEW (kg), DOC (M$_year)
12711.787873,   12.795139
12717.683889,   12.793470
12720.739232,   12.794696
12717.150533,   12.793823
12716.814583,   12.793547
12715.670907,   12.793513
12716.905214,   12.793537
12710.908866,   12.796202
12712.958652,   12.794228
12719.804629,   12.794569
12712.942827,   12.794972
12715.070027,   12.793468
12719.177485,   12.794628
12716.344587,   12.793721
12713.920492,   12.794126
12714.822798,   12.793912
12711.441663,   12.795472
12719.198316,   12.794164
12712.031696,   12.794963
12710.780939,   12.796672
12711.179365,   12.796060
12716.883498,   12.793827
12717.219466,   12.793453
12712.702237,   12.794404
12714.278195,   12.793728
12711.364828,   12.795605
12714.355662,   12.793802
12712.915421,   12.794232
12712.240421,   12.794627
12714.193416,   12.793907
12711.321999,   12.796064
12716.534745,   12.793204
12712.831993,   12.794326
12720.024821,   12.794430
12712.642028,   12.794800
12712.025716,   12.795103
12714.657917,   12.793446
12714.517236,   12.793715
12712.525404,   12.794704
12713.454519,   12.793885
12719.002318,   12.794028
12714.391159,   12.793560
12720.944151,   12.794965
12710.822305,   12.796586
12711.427397,   12.795487
12718.916154,   12.794333
12712.558110,   12.794420
12719.600101,   12.794454
12713.754655,   12.794080
12713.300381,   12.793976
12714.158558,   12.793510
12718.256396,   12.793715
12713.094058,   12.794279
12712.546665,   12.794717
12718.519622,   12.794174
12714.224687,   12.793652
12713.217126,   12.794002
12711.764817,   12.795595
12711.253729,   12.796513
12711.661540,   12.795603
12713.670815,   12.793898
12714.070221,   12.793556
12713.348359,   12.794174
12712.901038,   12.794193
12713.817147,   12.794179
12712.596372,   12.794515
12715.989667,   12.793520
12712.808915,   12.794213
12716.572677,   12.793555
12715.570012,   12.793230
12713.825730,   12.793772
12712.097521,   12.795220
12720.566748,   12.794869
12712.117500,   12.794882
12711.977873,   12.795658
12716.065095,   12.793247
12713.125557,   12.794263
12712.458241,   12.794766
12717.518522,   12.793695
12711.734066,   12.795989
12716.007771,   12.793808
12714.265617,   12.793559
12717.810150,   12.794055
12712.810414,   12.794198
12715.200647,   12.793314
12712.635736,   12.794609
12718.605758,   12.793949
12717.866956,   12.793734
12711.287451,   12.796254
12715.493103,   12.793261
12711.885051,   12.795163
12710.957919,   12.796151
12713.375972,   12.794107
12711.564170,   12.795658
12717.351948,   12.793699
12715.502375,   12.793306
12714.144945,   12.793870
12715.201273,   12.793455
12715.356603,   12.793326
12719.012458,   12.793878
12712.973716,   12.794315
12711.117981,   12.796221
12713.514543,   12.794180
12712.410138,   12.794525
12716.226282,   12.793698
12713.998502,   12.793776
12715.787706,   12.793483
12712.270769,   12.794902
12718.041444,   12.793588
12717.503810,   12.793839
12710.773303,   12.796634
12713.172858,   12.794058
12711.503487,   12.795741
12713.836075,   12.793800
12714.416688,   12.793856
12717.063660,   12.793376
12716.716309,   12.793512
12718.286306,   12.793796
12714.725392,   12.793707
12715.270523,   12.793769
12718.615563,   12.793872
12718.072241,   12.793940
12714.933402,   12.793540
12711.853499,   12.795427
