OEW (kg), DOC (M$_year)
12715.785023,   12.793411
12715.635816,   12.793661
12715.947427,   12.793403
12715.851960,   12.793414
12716.390408,   12.793664
12715.883432,   12.793426
12715.749283,   12.793425
12714.903763,   12.793359
12714.856306,   12.793358
12711.954896,   12.795085
12715.906417,   12.793635
12713.884137,   12.794117
12713.871158,   12.794124
12713.830051,   12.794161
12716.434865,   12.793678
12716.249727,   12.793527
12715.033143,   12.793308
12713.976089,   12.793786
12714.459248,   12.793636
12717.071762,   12.793900
12712.548076,   12.794414
12712.557789,   12.794408
12713.909029,   12.793708
12713.854245,   12.794124
12715.300241,   12.793417
12716.532919,   12.793583
12712.637089,   12.794314
12711.376498,   12.795534
12713.753907,   12.793740
12715.205291,   12.793457
12712.979664,   12.794748
12715.280754,   12.793429
12713.803356,   12.793733
12715.167503,   12.793642
12720.578976,   12.794555
12712.477048,   12.795572
12713.272795,   12.794323
12720.442172,   12.794464
12713.370311,   12.794192
12711.386809,   12.795527
12711.392648,   12.795520
12712.502530,   12.795552
12713.222282,   12.794718
12711.246897,   12.795733
12717.740019,   12.793683
12711.459615,   12.795448
12711.902079,   12.795237
12714.291371,   12.793661
12714.055386,   12.793798
12711.312855,   12.795759
12719.696369,   12.794475
12712.027182,   12.794951
12712.599750,   12.794586
12717.593809,   12.793666
12719.909146,   12.794390
12717.481701,   12.793474
12713.467154,   12.793842
12715.156791,   12.793248
12713.559233,   12.794027
12717.116900,   12.793500
12711.148759,   12.796181
12711.412290,   12.795491
12715.678855,   12.793844
12717.312363,   12.793564
12711.794522,   12.795101
12720.888734,   12.794710
12711.159165,   12.796090
12716.993910,   12.793383
12712.604025,   12.794584
12711.217913,   12.796030
12714.517879,   12.793593
12712.005815,   12.794912
12717.093257,   12.793388
12711.465375,   12.795442
12713.117952,   12.794397
12711.518855,   12.795369
12711.405387,   12.795578
12714.165103,   12.793708
12711.820635,   12.795161
12715.667702,   12.794202
12712.162199,   12.795188
12712.768582,   12.794829
12711.432289,   12.795473
12713.121179,   12.794375
12713.933702,   12.793904
12712.830382,   12.794733
12711.222124,   12.796027
12711.134919,   12.796184
12714.725557,   12.793696
12721.660775,   12.795423
12714.201548,   12.793682
12714.325735,   12.793611
12717.371790,   12.793435
12714.215235,   12.793773
12714.704170,   12.793711
12712.712591,   12.794892
12715.619430,   12.793173
12713.063350,   12.794858
12711.121009,   12.796246
12714.307741,   12.793608
12711.441161,   12.795536
12712.494470,   12.794699
12714.534649,   12.793731
12714.088689,   12.793776
12714.379322,   12.793602
12714.126058,   12.793732
12717.576393,   12.793466
12717.949832,   12.793715
12714.414061,   12.793565
12711.663849,   12.795208
12721.245928,   12.795085
12718.078321,   12.793798
12715.669131,   12.793166
12712.210598,   12.795045
12714.078303,   12.793812
12713.543230,   12.794222
12714.468884,   12.793601
12717.846312,   12.793713
12712.242825,   12.794941
12713.421622,   12.794073
12711.508314,   12.795402
12719.309252,   12.793863
12710.709374,   12.797422
12718.674475,   12.794175
12714.358217,   12.793603
12712.879733,   12.794446
12720.280662,   12.794478
12712.674476,   12.794900
12714.047521,   12.793809
12721.092532,   12.794953
12711.560250,   12.795361
12712.519803,   12.794419
12718.704903,   12.794177
12719.603182,   12.793956
12718.466048,   12.793724
12711.115161,   12.796250
12710.616616,   12.797558
12714.166052,   12.793775
12711.718171,   12.795150
12711.728876,   12.795162
12713.611312,   12.793911
12713.867745,   12.793692
12710.717685,   12.797094
12710.691678,   12.797434
12711.089035,   12.796364
12711.094387,   12.796388
