CLh_e, CDh_e
  -0.630011,    0.012852
  -0.614412,    0.012663
  -0.597595,    0.012499
  -0.579565,    0.012411
  -0.560332,    0.012338
  -0.539903,    0.012272
  -0.518281,    0.012218
  -0.495465,    0.012172
  -0.471454,    0.012197
  -0.440208,    0.012196
  -0.418779,    0.012267
  -0.396155,    0.012360
  -0.372331,    0.012458
  -0.347303,    0.012610
  -0.321068,    0.012808
  -0.293620,    0.013022
  -0.264952,    0.013240
  -0.235055,    0.013469
  -0.203925,    0.013737
  -0.171551,    0.014129
  -0.137925,    0.014528
  -0.103036,    0.014934
  -0.066872,    0.015345
  -0.029425,    0.015969
   0.009200,    0.017155
   0.048640,    0.020008
   0.088468,    0.022091
   0.128249,    0.022937
