eta, gamma
   0.000000,   75.760471
   0.020408,   75.746679
   0.040816,   75.704312
   0.061224,   75.632103
   0.081633,   75.529569
   0.102041,   75.396480
   0.122449,   75.232738
   0.142857,   75.038325
   0.163265,   74.813268
   0.183673,   74.557607
   0.204082,   74.271379
   0.224490,   73.954599
   0.244898,   73.607244
   0.265306,   73.229242
   0.285714,   72.820454
   0.306122,   72.380670
   0.326531,   71.909595
   0.346939,   71.406836
   0.367347,   70.871894
   0.387755,   70.304151
   0.408163,   69.702854
   0.428571,   69.067105
   0.448980,   68.395841
   0.469388,   67.687812
   0.489796,   66.941563
   0.510204,   66.154994
   0.530612,   65.326084
   0.551020,   64.452946
   0.571429,   63.532948
   0.591837,   62.563048
   0.612245,   61.539728
   0.632653,   60.458909
   0.653061,   59.315845
   0.673469,   58.104998
   0.693878,   56.819870
   0.714286,   55.452789
   0.734694,   53.994636
   0.755102,   52.434476
   0.775510,   50.759057
   0.795918,   48.952117
   0.816327,   46.993386
   0.836735,   44.857106
   0.857143,   42.509737
   0.877551,   39.906191
   0.897959,   36.983238
   0.918367,   33.646823
   0.938776,   29.744457
   0.959184,   24.992547
   0.979592,   18.709703
   1.000000,    0.000000
