eta, gamma
   0.000000,   15.152094
   0.020408,   15.149336
   0.040816,   15.140862
   0.061224,   15.126421
   0.081633,   15.105914
   0.102041,   15.079296
   0.122449,   15.046548
   0.142857,   15.007665
   0.163265,   14.962654
   0.183673,   14.911521
   0.204082,   14.854276
   0.224490,   14.790920
   0.244898,   14.721449
   0.265306,   14.645848
   0.285714,   14.564091
   0.306122,   14.476134
   0.326531,   14.381919
   0.346939,   14.281367
   0.367347,   14.174379
   0.387755,   14.060830
   0.408163,   13.940571
   0.428571,   13.813421
   0.448980,   13.679168
   0.469388,   13.537562
   0.489796,   13.388313
   0.510204,   13.230999
   0.530612,   13.065217
   0.551020,   12.890589
   0.571429,   12.706590
   0.591837,   12.512610
   0.612245,   12.307946
   0.632653,   12.091782
   0.653061,   11.863169
   0.673469,   11.621000
   0.693878,   11.363974
   0.714286,   11.090558
   0.734694,   10.798927
   0.755102,   10.486895
   0.775510,   10.151811
   0.795918,    9.790423
   0.816327,    9.398677
   0.836735,    8.971421
   0.857143,    8.501947
   0.877551,    7.981238
   0.897959,    7.396648
   0.918367,    6.729365
   0.938776,    5.948891
   0.959184,    4.998509
   0.979592,    3.741941
   1.000000,    0.000000
