alpha body, CL_e
 -10.000000,   -0.867675
  -9.000000,   -0.753378
  -8.000000,   -0.639248
  -7.000000,   -0.525286
  -6.000000,   -0.411494
  -5.000000,   -0.297860
  -4.000000,   -0.184385
  -3.000000,   -0.071079
  -2.000000,    0.042444
  -1.000000,    0.155486
   0.000000,    0.268360
   1.000000,    0.381076
   2.000000,    0.493623
   3.000000,    0.605996
   4.000000,    0.718194
   5.000000,    0.830222
   6.000000,    0.942093
   7.000000,    1.053798
   8.000000,    1.165332
   9.000000,    1.276693
  10.000000,    1.387885
  11.000000,    1.498597
  12.000000,    1.596973
  13.000000,    1.664148
  14.000000,    1.695390
  15.000000,    1.701356
  16.000000,    1.707966
  17.000000,    1.755302
  18.000000,    1.899380
