alpha body, CL_e
 -10.000000,   -0.834340
  -9.090909,   -0.734481
  -8.181818,   -0.634756
  -7.272727,   -0.535148
  -6.363636,   -0.435671
  -5.454545,   -0.336334
  -4.545455,   -0.237134
  -3.636364,   -0.138050
  -2.727273,   -0.039102
  -1.818182,    0.060096
  -0.909091,    0.158840
  -0.000000,    0.257464
   0.909091,    0.355951
   1.818182,    0.454298
   2.727273,    0.552513
   3.636364,    0.650606
   4.545455,    0.748560
   5.454545,    0.846376
   6.363636,    0.944065
   7.272727,    1.041629
   8.181818,    1.139055
   9.090909,    1.236345
  10.000000,    1.333512
  10.909091,    1.430439
  11.818182,    1.520674
  12.727273,    1.591665
  13.636364,    1.637257
  14.545455,    1.658685
  15.454545,    1.664543
  16.363636,    1.670729
  17.272727,    1.699688
  18.181818,    1.781700
  19.090909,    1.954918
  20.000000,    2.264071
