alpha body, CL_e
 -10.000000,   -0.847335
  -9.000000,   -0.735719
  -8.000000,   -0.624266
  -7.000000,   -0.512977
  -6.000000,   -0.401853
  -5.000000,   -0.290881
  -4.000000,   -0.180062
  -3.000000,   -0.069407
  -2.000000,    0.041463
  -1.000000,    0.151866
   0.000000,    0.262108
   1.000000,    0.372199
   2.000000,    0.482127
   3.000000,    0.591890
   4.000000,    0.701486
   5.000000,    0.810919
   6.000000,    0.920203
   7.000000,    1.029329
   8.000000,    1.138290
   9.000000,    1.247088
  10.000000,    1.355724
  11.000000,    1.463895
  12.000000,    1.560013
  13.000000,    1.625633
  14.000000,    1.656120
  15.000000,    1.661880
  16.000000,    1.668251
  17.000000,    1.714505
  18.000000,    1.855464
