alpha body, CL_e
 -10.000000,   -0.854711
  -9.090909,   -0.752413
  -8.181818,   -0.650251
  -7.272727,   -0.548210
  -6.363636,   -0.446304
  -5.454545,   -0.344542
  -4.545455,   -0.242922
  -3.636364,   -0.141423
  -2.727273,   -0.040064
  -1.818182,    0.061547
  -0.909091,    0.162692
  -0.000000,    0.263710
   0.909091,    0.364587
   1.818182,    0.465316
   2.727273,    0.565907
   3.636364,    0.666370
   4.545455,    0.766688
   5.454545,    0.866860
   6.363636,    0.966899
   7.272727,    1.066807
   8.181818,    1.166569
   9.090909,    1.266189
  10.000000,    1.365679
  10.909091,    1.464920
  11.818182,    1.557308
  12.727273,    1.629998
  13.636364,    1.676698
  14.545455,    1.698680
  15.454545,    1.704744
  16.363636,    1.711161
  17.272727,    1.740820
  18.181818,    1.824665
  19.090909,    2.001744
  20.000000,    2.317757
