alpha body, CL_e
 -10.000000,   -0.867846
  -9.000000,   -0.753527
  -8.000000,   -0.639374
  -7.000000,   -0.525389
  -6.000000,   -0.411575
  -5.000000,   -0.297919
  -4.000000,   -0.184421
  -3.000000,   -0.071093
  -2.000000,    0.042452
  -1.000000,    0.155517
   0.000000,    0.268412
   1.000000,    0.381150
   2.000000,    0.493719
   3.000000,    0.606114
   4.000000,    0.718334
   5.000000,    0.830384
   6.000000,    0.942277
   7.000000,    1.054004
   8.000000,    1.165559
   9.000000,    1.276942
  10.000000,    1.388155
  11.000000,    1.498888
  12.000000,    1.597283
  13.000000,    1.664471
  14.000000,    1.695720
  15.000000,    1.701687
  16.000000,    1.708300
  17.000000,    1.755645
  18.000000,    1.899748
