alpha body, CL_e
 -10.000000,   -0.816401
  -9.000000,   -0.708862
  -8.000000,   -0.601481
  -7.000000,   -0.494257
  -6.000000,   -0.387190
  -5.000000,   -0.280267
  -4.000000,   -0.173489
  -3.000000,   -0.066865
  -2.000000,    0.039971
  -1.000000,    0.146361
   0.000000,    0.252599
   1.000000,    0.358698
   2.000000,    0.464645
   3.000000,    0.570438
   4.000000,    0.676077
   5.000000,    0.781564
   6.000000,    0.886913
   7.000000,    0.992115
   8.000000,    1.097165
   9.000000,    1.202064
  10.000000,    1.306814
  11.000000,    1.411120
  12.000000,    1.503803
  13.000000,    1.567059
  14.000000,    1.596398
  15.000000,    1.601846
  16.000000,    1.607850
