alpha body, CL_e
 -10.000000,   -0.847397
  -9.000000,   -0.735773
  -8.000000,   -0.624312
  -7.000000,   -0.513015
  -6.000000,   -0.401882
  -5.000000,   -0.290902
  -4.000000,   -0.180076
  -3.000000,   -0.069413
  -2.000000,    0.041466
  -1.000000,    0.151877
   0.000000,    0.262127
   1.000000,    0.372226
   2.000000,    0.482163
   3.000000,    0.591933
   4.000000,    0.701537
   5.000000,    0.810979
   6.000000,    0.920271
   7.000000,    1.029404
   8.000000,    1.138373
   9.000000,    1.247179
  10.000000,    1.355823
  11.000000,    1.464002
  12.000000,    1.560126
  13.000000,    1.625751
  14.000000,    1.656241
  15.000000,    1.662002
  16.000000,    1.668373
  17.000000,    1.714631
  18.000000,    1.855599
