alpha body, CL_e
 -10.000000,   -0.803839
  -9.090909,   -0.707633
  -8.181818,   -0.611556
  -7.272727,   -0.515591
  -6.363636,   -0.419750
  -5.454545,   -0.324044
  -4.545455,   -0.228467
  -3.636364,   -0.133000
  -2.727273,   -0.037660
  -1.818182,    0.057923
  -0.909091,    0.153073
  -0.000000,    0.248111
   0.909091,    0.343021
   1.818182,    0.437801
   2.727273,    0.532459
   3.636364,    0.627003
   4.545455,    0.721418
   5.454545,    0.815706
   6.363636,    0.909876
   7.272727,    1.003930
   8.181818,    1.097857
   9.090909,    1.191660
  10.000000,    1.285348
  10.909091,    1.378810
  11.818182,    1.465822
  12.727273,    1.534270
  13.636364,    1.578202
  14.545455,    1.598802
  15.454545,    1.604350
