alpha body, CL_e
 -10.000000,   -0.816510
  -9.000000,   -0.708957
  -8.000000,   -0.601561
  -7.000000,   -0.494323
  -6.000000,   -0.387242
  -5.000000,   -0.280304
  -4.000000,   -0.173512
  -3.000000,   -0.066874
  -2.000000,    0.039976
  -1.000000,    0.146380
   0.000000,    0.252633
   1.000000,    0.358745
   2.000000,    0.464707
   3.000000,    0.570514
   4.000000,    0.676166
   5.000000,    0.781667
   6.000000,    0.887030
   7.000000,    0.992246
   8.000000,    1.097310
   9.000000,    1.202223
  10.000000,    1.306986
  11.000000,    1.411307
  12.000000,    1.504001
  13.000000,    1.567265
  14.000000,    1.596608
  15.000000,    1.602057
  16.000000,    1.608063
