alpha body, Neutral Point
 -10.000000,    0.202801
  -9.000000,    0.214747
  -8.000000,    0.238101
  -7.000000,    0.261192
  -6.000000,    0.284220
  -5.000000,    0.306602
  -4.000000,    0.324716
  -3.000000,    0.338364
  -2.000000,    0.360673
  -1.000000,    0.383193
   0.000000,    0.396309
   1.000000,    0.409147
   2.000000,    0.421635
   3.000000,    0.433086
   4.000000,    0.443850
   5.000000,    0.454344
   6.000000,    0.464437
   7.000000,    0.473973
   8.000000,    0.484021
   9.000000,    0.499185
  10.000000,    0.524832
  11.000000,    0.569178
