alpha body, Neutral Point
 -10.000000,    0.202325
  -9.090909,    0.211979
  -8.181818,    0.231471
  -7.272727,    0.251205
  -6.363636,    0.270775
  -5.454545,    0.289493
  -4.545455,    0.307843
  -3.636364,    0.323769
  -2.727273,    0.333499
  -1.818182,    0.352312
  -0.909091,    0.373791
  -0.000000,    0.385090
   0.909091,    0.396237
   1.818182,    0.407414
   2.727273,    0.418359
   3.636364,    0.428743
   4.545455,    0.438331
   5.454545,    0.447635
   6.363636,    0.457031
   7.272727,    0.466081
   8.181818,    0.475742
   9.090909,    0.489841
  10.000000,    0.512117
  10.909091,    0.548045
  11.818182,    0.615988
  12.727273,    0.759954
  13.636364,    1.115545
  14.545455,    2.960959
  15.454545,   -1.837643
  16.363636,   -5.761604
  17.272727,   -3.069911
  18.181818,   -2.898637
  19.090909,   -3.846081
